ID,Feature,Category,swap_proportion,hellinger_casuality,wasserstein_casuality,cramers_v_casuality,total_variation_casuality,JS_casuality,Casuality,Importance,combined_scores
F_2,sex,0,0.7,5.32742337722264,0.04168671273975317,8.688134882632836,0.968546466613659,0.1922442857072194,4.529,10.074,0.000853898074835415
F_2,sex,1,0.7,13.153856820661147,0.09125364455798424,12.11425121613378,1.2582772331420526,0.3199588749872067,7.205,22.658,0.0021723733361635918
F_3,capital-gain,<=3471,0.7,178.821195513864,1.3367215063447904,164.904503706585,15.42669343518918,3.543987702997422,35.354,40.085,1.3794414489955742
F_3,capital-gain,>=3674,0.7,87.43239411092162,4.066677743844051,173.66109900126145,33.69691796029364,5.4006828940972555,51.51,53.523,1.5962001000814288
F_4,capital-loss,<=1876,0.7,114.00768596438542,0.6506870927579866,78.1934216183056,9.59631390838667,2.3592942504851537,25.584,32.495,0.3065415224508325
F_4,capital-loss,>=1887,0.7,44.00054137565552,2.6076747296279783,134.98847178789086,23.999633073694792,4.612204509014217,43.346,46.768,0.4856519875008443
F_5,hours-per-week,<=40,0.7,31.59280065843473,0.17601000275910958,28.24447608072367,3.1675820210903467,0.7836756691519154,12.275,19.779,0.017172646486557155
F_5,hours-per-week,>=41,0.7,29.096033434701326,0.32794848147760536,30.552138951832536,4.408481582303851,1.06802256237792,16.074,29.943,0.020561492428365257
F_0,age,>=38,0.1,0.8169899923179584,0.003324493700795702,1.8202323381667187,0.048036282909486666,0.02442894440329943,1.262,25.026,2.2872084786159746e-06
F_0,age,<=37,0.1,1.0707210787020103,0.0023895708608103693,2.220436986286945,0.08418479697089673,0.032122591402260196,1.456,11.769,3.418483291239328e-06
F_1,race,0,0.1,0.17099852697931947,0.0008320897209858612,0.9826411760704132,0.022084715836864645,0.009540123936720329,0.678,13.085,1.3940698729767615e-07
F_1,race,1,0.1,0.6244408551729239,0.0009064526840513285,1.3212939648157822,0.01729035690559205,0.01438477929430258,0.916,18.715,2.642172491325994e-07
F_2,sex,0,0.1,0.17606961620808556,0.0006599594628616448,0.7192093764464109,0.02205746886368181,0.006703179805630092,0.496,9.291,2.0415821344505787e-07
F_2,sex,1,0.1,0.8640839457004208,0.0022224940764368224,1.747673050333375,0.0397763575559159,0.022250641867482192,1.208,22.297,1.3949432994211234e-06
F_3,capital-gain,<=3471,0.1,10.399580164328246,0.030812668536781655,8.995041966955664,0.6106203568826626,0.22307264088076492,5.381,21.678,0.0004682889740089209
F_3,capital-gain,>=3674,0.1,3.9052670137761956,0.06368346074142645,10.146769633127954,1.0844837289139424,0.3325557926267733,6.463,10.374,0.0005216222685409739
F_4,capital-loss,<=1876,0.1,7.087066265788806,0.017427256400834562,6.392077204920059,0.34085602380566793,0.15044870492386248,4.085,20.107,0.00014538804941533718
F_4,capital-loss,>=1887,0.1,1.9390357432873182,0.037213591229406914,7.838308803304775,0.5584722039643198,0.24595189662375294,5.204,12.268,0.0001059283856392073
F_5,hours-per-week,<=40,0.1,1.5131430423536831,0.0031355082832529926,2.3921010840008226,0.0775751175620453,0.03823980280528433,1.575,13.914,5.471209180694285e-06
F_5,hours-per-week,>=41,0.1,1.7655897350211331,0.007514064000749478,3.5858315165370493,0.12583931995139586,0.06820364292693692,2.459,29.189,1.1167202327481287e-05
F_0,age,>=38,0.3,4.213134229683983,0.027697091123586173,5.3727972819631145,0.3804361377235762,0.12273688024752512,3.575,25.11,0.00017922251606976425
F_0,age,<=37,0.3,4.409031446875809,0.01730055555635345,6.166707378878354,0.5262214765421221,0.13110266680356303,3.591,12.667,0.00019515292320049883
F_1,race,0,0.3,0.9149759886183745,0.005223271900820308,2.8948637543106543,0.1499209009365473,0.05046967401814802,1.898,12.542,8.06655892145795e-06
F_1,race,1,0.3,2.757128462258328,0.006778114614037357,3.6071507132170915,0.13684251473050724,0.0633424076038273,2.412,18.883,1.7263808000639358e-05
F_2,sex,0,0.3,1.3504574469105004,0.0075350197201951965,2.9609367981790435,0.22493041540327213,0.05023948394579851,1.889,9.693,2.673991103794497e-05
F_2,sex,1,0.3,3.2998569801365294,0.015147912610365136,4.335237134275103,0.24507406186306518,0.08342763756638186,2.89,22.358,6.351505668870201e-05
F_3,capital-gain,<=3471,0.3,51.53190869409394,0.2655657908657054,34.67380806858338,4.071194601556791,1.0736483171862026,15.49,28.061,0.03602700322316712
F_3,capital-gain,>=3674,0.3,22.88379609117041,0.6909499629217473,42.009182330824935,8.269966433906857,1.7845207913108379,21.259,24.49,0.04799245065104227
F_4,capital-loss,<=1876,0.3,34.508096500228206,0.1437397009522253,22.02438566455798,2.4157094788083224,0.7223858156647982,11.643,24.466,0.010374229888212292
F_4,capital-loss,>=1887,0.3,15.70725018349052,0.5515454139136511,41.88375620454535,7.088883857483023,1.8940419351842037,21.561,23.42,0.02254337394170541
F_5,hours-per-week,<=40,0.3,7.4732443266570385,0.025616844783235268,8.035715422261935,0.5757916541664244,0.18848927598871787,4.624,15.258,0.0003652078268449679
F_5,hours-per-week,>=41,0.3,7.375366993504135,0.052112944240863754,9.759900659849782,0.8085557971375947,0.2802088668071202,6.322,29.399,0.000532045220316291
F_0,age,>=38,0.5,9.77727310378498,0.0830955508600889,10.101332435241844,1.0641731190030514,0.27681592606390426,6.33,25.552,0.0015057840711449242
F_0,age,<=37,0.5,9.200586120736265,0.04605753082632306,11.590531118585044,1.2007400571357987,0.27017334992511904,5.845,13.804,0.001365126597734014
F_1,race,0,0.5,1.8918684705703601,0.01505520419270904,5.009511602896962,0.3832571621538946,0.10298709933083781,3.119,12.678,5.950926457318205e-05
F_1,race,1,0.5,6.514919410519459,0.020388949723018215,6.7300543735445295,0.4018871585896723,0.14913350331073952,4.269,19.173,0.0001613233404338811
F_2,sex,0,0.5,3.1642485493336774,0.023332466119411022,5.604153133280482,0.5681320239952489,0.11526184374994532,3.283,9.972,0.0002332343588460273
