Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
age,70%,"Wasserstein
 distance(+)",0.0025822813465990204,0.0018713746551891827,0.0044536560017882035,4.8324158645932005e-06,0.016882874455259943
age,70%,"Contingency
 coefficient(-)",0.014676817973619305,0.05073672356131498,0.06541354153493428,0.0007446536562872617,0.5417833395717299
age,70%,"Total variation
 distance(+)",0.033143713012134084,0.036091459473307635,0.06923517248544173,0.0011962049749723762,0.19507584887615845
age,70%,"Jensen-Shannon
 divergence(+)",0.0022374389930582446,0.013167823021540272,0.015405262014598516,2.946220068208424e-05,0.05050167593714381
ca,10%,"Hellinger
 distance(+)",0.03612694778205673,0.04692410712750638,0.0830510549095631,0.0016952247679150592,0.02575816599676633
ca,10%,"Wasserstein
 distance(+)",0.0014972513351645001,0.00187323519873425,0.00337048653389875,2.8047039023819936e-06,0.0030867216000480227
ca,10%,"Contingency
 coefficient(-)",0.02113512078119517,0.2400976330042946,0.26123275378548977,0.005074492472824838,0.513660638239163
ca,10%,"Total variation
 distance(+)",0.0365018315018315,0.041178315530732826,0.07768014703256432,0.0015030839350320608,0.043989204173903416
ca,10%,"Jensen-Shannon
 divergence(+)",0.0005203244859104984,0.01591657444544484,0.01643689893135534,8.281783415782263e-06,0.012684074399407302
ca,30%,"Hellinger
 distance(+)",0.09356522874347566,0.11291163431191736,0.20647686305539303,0.010564602892194222,0.06958412345505402
ca,30%,"Wasserstein
 distance(+)",0.0029700015017728176,0.007775111781018763,0.01074511328279158,2.3092093666077253e-05,0.009265295169642114
ca,30%,"Contingency
 coefficient(-)",0.1218750060564372,0.24044742612528247,0.36232243218171967,0.029304531515273537,0.4471718748048324
ca,30%,"Total variation
 distance(+)",0.003940452268038408,0.10158645163526382,0.10552690390330223,0.00040029656374814936,0.12804885200901053
ca,30%,"Jensen-Shannon
 divergence(+)",0.006452093772105642,0.03466993615447272,0.04112202992657836,0.00022369367914157367,0.0358270170117668
ca,50%,"Hellinger
 distance(+)",0.14750702097452323,0.13493139191934775,0.28243841289387095,0.01990332765796884,0.0990971003693192
