ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,worse_case_unfair,epsilon_unfair,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_2,sex,1,0.1,78.355,78.325,0.020004095004095005,0.10002047502047502,3.0879545682284553,0.004772783793718269,0.6163029573185108,0.09827213822893113,0.018538457651108824,0.0683351368653142,0.7250072353954913,0.0018244344216888319,0.691877841686191,0.0322447140028243,0.0015148281810899332,0.018738800909519175,1.234,21.675,3728.6666666667215,1749.605128205154,0.182,0.176,0.444,0.432,0.068,0.063
F_3,capital-gain,<=3471,0.1,81.793,81.793,0.00020032895346729565,0.0001023855841097573,13.316525208868738,0.03622663827969603,0.9898376709984376,0.5319252214442497,inf,0.22716592669904517,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,18.207,0.0,0.0,0.096,0.096,0.288,0.288,0.047,0.047
F_3,capital-gain,>=3674,0.1,95.531,94.972,0.00020032895346729565,0.0001023855841097573,13.316525208868738,0.03622663827969603,0.9898376709984376,0.5319252214442497,inf,0.22716592669904517,0.17111348938666637,0.0008769360663815082,0.7011183539161265,0.016679021497405494,0.0009900333529917846,0.0157036154393892,0.559,5.028,1.0,0.0,0.793,0.788,0.963,0.956,0.078,0.078
F_4,capital-loss,<=1876,0.1,82.28,82.256,0.0002618688104014,0.00010238558410975749,13.74405943562811,0.038677143687567236,0.9876342862134746,0.7251205680542462,inf,0.23016307944226588,0.13971357903482584,3.681753392337018e-05,0.7067112770187727,0.0006755251007787381,4.108575108638974e-05,0.003163621957522805,0.023,17.744,1.0,0.0,0.119,0.119,0.37,0.369,0.047,0.047
F_4,capital-loss,>=1887,0.1,93.31,90.493,0.0002618688104014,0.00010238558410975749,13.74405943562811,0.038677143687567236,0.9876342862134746,0.7251205680542462,inf,0.23016307944226588,0.27373998052893417,0.004323810703254071,0.6810292981784085,0.06762697453556618,0.004657759529530482,0.03402676952502014,2.817,9.507,1.25,1.0,0.75,0.722,0.953,0.916,0.129,0.129
F_5,hours-per-week,<=40,0.1,87.357,87.168,0.003476876884278613,0.00010238558410975812,1.07415808590956,0.00021322662543784616,0.9886904926100488,0.05496830920246411,inf,0.664037837126431,0.440346109614964,0.00048744944092152486,0.6906896685199934,0.012188309675974524,0.0005546179818835416,0.011617735986085467,0.535,12.832,260.00000000000045,28.446808510638434,0.06,0.065,0.303,0.311,0.012,0.015
F_5,hours-per-week,>=41,0.1,71.549,71.366,0.003476876884278613,0.00010238558410975812,1.07415808590956,0.00021322662543784616,0.9886904926100488,0.05496830920246411,inf,0.664037837126431,0.4725585903934665,0.0010309130050424869,0.6997086153308013,0.01909685603067778,0.0014757805560434787,0.01870366807319962,0.913,28.634,310.00000000000455,21.29032258064518,0.332,0.327,0.557,0.549,0.169,0.167
F_0,age,>=38,0.3,75.1,74.699,0.01708834522700256,0.00010238558410975693,1.6738198740259592e-31,2.294572421192363e-66,0.9831565425622569,0.13025128050347715,inf,0.5685263065474698,1.2750775189343457,0.007668556559652446,0.6541865011308817,0.11276170850637822,0.006017607995730248,0.03745971425985738,4.537,25.301,5761.9999999999245,163.27536231884022,0.221,0.189,0.46,0.409,0.091,0.07
F_0,age,<=37,0.3,88.958,87.908,0.01708834522700256,0.00010238558410975693,1.6738198740259592e-31,2.294572421192363e-66,0.9831565425622569,0.13025128050347715,inf,0.5685263065474698,0.7992973221959973,0.0019762275079907806,0.6498131730965575,0.07160707174442767,0.00290861355508165,0.026247535667121034,2.051,12.092,623.9999999999968,64.00000000000006,0.071,0.08,0.366,0.359,0.021,0.032
F_1,race,0,0.3,87.438,87.227,0.06001228501228502,0.3000614250614251,5.348494203636101,0.03247742776802895,0.27140103320468734,0.29649143815110557,0.05045438053708453,0.11241646031661469,0.44462345506412726,0.0027801028098478906,0.6518193504546187,0.0717690474525714,0.0025992618527156835,0.02507536841155711,2.188,12.773,1151.499999999994,297.4958677685953,0.086,0.084,0.375,0.362,0.032,0.032
F_1,race,1,0.3,81.751,81.332,0.06001228501228502,0.3000614250614251,5.348494203636101,0.03247742776802895,0.27140103320468734,0.29649143815110557,0.05045438053708453,0.11241646031661469,1.232963020919055,0.003329608092996196,0.6654966529305462,0.06190186386829591,0.0033620364157930394,0.028217644942264836,2.718,18.668,1151.499999999994,335.63636363636397,0.147,0.147,0.431,0.421,0.051,0.054
F_2,sex,0,0.3,90.901,90.079,0.06001228501228502,0.3000614250614251,5.348494203636101,0.014864730670671343,0.3544604024989378,0.2974390620178931,0.05434627214907623,0.11614356764845578,0.7877517158640248,0.004361692139029028,0.6313395209512905,0.12735235430089656,0.0035815005786853076,0.02898322270837151,2.1,9.921,3728.6666666667215,2485.7777777778147,0.052,0.065,0.324,0.343,0.018,0.03
F_2,sex,1,0.3,78.355,78.355,0.06001228501228502,0.3000614250614251,5.348494203636101,0.014864730670671343,0.3544604024989378,0.2974390620178931,0.05434627214907623,0.11614356764845578,1.236594915584013,0.005570248343426212,0.6592571893995818,0.09108812836864463,0.004276259162994279,0.0314356199418143,3.579,21.645,3728.6666666667215,2796.500000000041,0.182,0.162,0.444,0.411,0.068,0.053
F_3,capital-gain,<=3471,0.3,82.321,82.259,0.0005326646045235739,0.00010238558410975796,23.241511303345582,0.11051779389499149,0.9816300096114153,0.791758209702705,inf,0.41766525327717036,0.197584838318736,4.89007962250123e-05,0.7058341948330542,0.0014371399712097997,0.00010746733685627481,0.005158592103722432,0.062,17.741,1.0,0.0,0.096,0.096,0.298,0.297,0.045,0.046
F_3,capital-gain,>=3674,0.3,95.034,94.131,0.0005326646045235739,0.00010238558410975796,23.241511303345582,0.11051779389499149,0.9816300096114153,0.791758209702705,inf,0.41766525327717036,0.2369824224929369,0.0020335641671200993,0.6932762105864356,0.03682634861842968,0.0022826450304881773,0.023862078076331478,1.354,5.869,7.333333333333334,1.0,0.781,0.767,0.96,0.946,0.088,0.077
F_4,capital-loss,<=1876,0.3,82.812,82.721,0.0009769680803803037,0.00010238558410975816,23.6625334768577,0.11439776079078756,0.9782722621052254,0.8870151689206804,inf,0.417078063413943,0.2794271580696517,4.7252123986239936e-05,0.7050844024731454,0.002159130085442294,0.00020807521949417482,0.007168981996776769,0.12,17.279,1.0,0.0,0.12,0.12,0.383,0.382,0.045,0.046
F_4,capital-loss,>=1887,0.3,93.359,85.938,0.0009769680803803037,0.00010238558410975816,23.6625334768577,0.11439776079078756,0.9782722621052254,0.8870151689206804,inf,0.417078063413943,0.43035200725389605,0.010726347813005114,0.6326869407329482,0.15987806794587656,0.012315463685086318,0.05534380989594891,8.203,14.062,4.5,2.0,0.742,0.668,0.958,0.857,0.134,0.134
F_5,hours-per-week,<=40,0.3,87.542,86.815,0.01159069243001681,0.00010238558410975685,2.1598034134374817,0.0008483113411906929,0.977819939168567,0.14533368221269313,inf,1.0532930391645419,0.8028490382469987,0.001974221764253146,0.6543646096907163,0.04442458691594815,0.0021812526908805176,0.023036497518093012,1.921,13.185,260.00000000000045,168.12030075188,0.065,0.082,0.325,0.353,0.012,0.026
F_5,hours-per-week,>=41,0.3,72.72,72.38,0.01159069243001681,0.00010238558410975685,2.1598034134374817,0.0008483113411906929,0.977819939168567,0.14533368221269313,inf,1.0532930391645419,0.6742505117679847,0.0025999230829546302,0.6871271074380453,0.045739233082790876,0.003450067524785135,0.02868213579747079,2.461,27.62,132.0,50.72702331961597,0.349,0.337,0.588,0.571,0.167,0.159
F_0,age,>=38,0.5,75.1,74.636,0.03108440660776923,0.00010238558410975694,2.3373622372948965e-31,4.875966297580518e-66,0.9684769009467857,0.20166854277742402,inf,0.7513142325882061,1.5945727647750774,0.01342020180500524,0.6243412387043332,0.1749490865059926,0.008820885343950936,0.045324280940979594,6.668,25.364,1320.0000000000277,158.33333333333383,0.221,0.167,0.46,0.377,0.091,0.053
F_0,age,<=37,0.5,88.514,86.705,0.03108440660776923,0.00010238558410975694,2.3373622372948965e-31,4.875966297580518e-66,0.9684769009467857,0.20166854277742402,inf,0.7513142325882061,1.103198174901979,0.004185300814666386,0.5772563479900183,0.13154708792342493,0.006212850167112786,0.03845067047140417,4.825,13.295,665.9999999999903,163.27536231884022,0.079,0.098,0.387,0.388,0.023,0.044
