ID,ID2,Feature,Feature2,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_3,F_2,capital-gain,sex,0.3,82.219,72.617,0.04457297176037267,0.04457297176037267,3.436777640141158,0.01267246841890255,0.997208206535652,0.23585117776009096,0.02054214516314256,0.07106015806161653,14.904,27.383,0.14716397105796475,6.882603106457201,0.136,0.237,0.412,0.423,0.049,0.179
F_3,F_4,capital-gain,capital-loss,0.3,82.219,71.236,0.29206703372534015,0.29206703372534015,3.684874860660857,0.016202340032572767,0.9972200840512451,0.26542700591543134,0.022962281710853974,0.07516768342746562,17.167,28.764,0.16544280213771745,4.853636123491956,0.136,0.265,0.412,0.453,0.049,0.206
F_3,F_5,capital-gain,hours-per-week,0.3,82.219,72.3,0.0999467294247115,0.0999467294247115,3.5200009600433066,0.012888249974703062,0.9972145137163205,0.24357461165509653,0.02159128768477314,0.0728288701131184,15.774,27.7,0.1530698449319232,6.894085838100214,0.136,0.239,0.412,0.42,0.049,0.182
F_4,F_0,capital-loss,age,0.3,82.219,76.077,0.2800260958063844,0.2800260958063844,2.9607277023018623,0.009328690797437587,0.997211970691291,0.18355758494822808,0.015750825811326634,0.06208285312509629,10.871,23.923,0.11526340601953491,7.701824685637016,0.136,0.205,0.412,0.428,0.049,0.134
F_4,F_1,capital-loss,race,0.3,82.219,75.381,0.27726029904241856,0.27726029904241856,3.065163838386906,0.010456989125732797,0.997212368065561,0.19820878190115007,0.016679907299030006,0.06393356279909647,11.731,24.619,0.12190476894008051,7.787836561651417,0.136,0.217,0.412,0.439,0.049,0.147
F_4,F_2,capital-loss,sex,0.3,82.219,75.504,0.2754909100272479,0.2754909100272479,3.0715937281647743,0.010757749030706195,0.9972133667494457,0.20001395202238398,0.016687267914575844,0.06396516754078363,11.588,24.496,0.12227494308150194,7.838372567755341,0.136,0.22,0.412,0.447,0.049,0.148
F_4,F_3,capital-loss,capital-gain,0.3,82.219,71.86,0.29727380529678793,0.29727380529678793,3.6398133552927554,0.015601898779676293,0.997220346680462,0.2606730772950737,0.02251849515943828,0.07442740392649078,16.542,28.14,0.16196822796611587,5.40337624579341,0.136,0.261,0.412,0.456,0.049,0.199
F_4,F_5,capital-loss,hours-per-week,0.3,82.219,75.668,0.30972979208065765,0.30972979208065765,3.095271047351291,0.009528192714255835,0.9972160028908228,0.19570603919001314,0.017230567374873162,0.06492552207230798,11.874,24.332,0.12370632989444788,7.95574479224426,0.136,0.207,0.412,0.424,0.049,0.139
F_5,F_0,hours-per-week,age,0.3,82.219,79.588,0.0800507066503291,0.0800507066503291,2.3671441763641194,0.004628091128825847,0.9970898594576126,0.12330965378295403,0.010620561324258405,0.05042078708641601,6.214,20.412,0.08552014851519203,10.286136503820565,0.136,0.15,0.412,0.387,0.049,0.075
F_5,F_1,hours-per-week,race,0.3,82.219,80.121,0.07618586809861261,0.07618586809861261,2.195939127564632,0.005793618305465514,0.9971420767154419,0.10458323078594045,0.009022926595754094,0.046592840753791845,6.091,19.879,0.07500102733052787,12.623157234029826,0.136,0.159,0.412,0.417,0.049,0.078
F_5,F_2,hours-per-week,sex,0.3,82.219,80.479,0.06976173828490462,0.06976173828490462,2.132180453058794,0.004732621431259043,0.9970726110660719,0.1087725691017601,0.008600334971179544,0.045353883672571205,5.221,19.521,0.07290545936814449,15.037245883753233,0.136,0.148,0.412,0.402,0.049,0.068
F_5,F_3,hours-per-week,capital-gain,0.3,82.219,72.607,0.10110752685995117,0.10110752685995117,3.514941911409122,0.012845188316946813,0.9972087336610044,0.2436055268806238,0.0215248042935757,0.07272961650392198,15.447,27.393,0.15297726646648163,6.49117968235625,0.136,0.238,0.412,0.426,0.049,0.179
F_5,F_4,hours-per-week,capital-loss,0.3,82.219,75.903,0.30963890549666784,0.30963890549666784,3.0187038871736935,0.009181325090953069,0.9972198226835531,0.18725791002312617,0.016456092805915284,0.06341709564669923,11.127,24.097,0.11881472238420746,8.328715143065814,0.136,0.203,0.412,0.42,0.049,0.134
F_0,F_1,age,race,0.5,82.219,80.428,0.06318185837869661,0.06318185837869661,2.4196184902753055,0.005918970942552861,0.9951578786055194,0.17493793250338488,0.011130963824567477,0.051343052617445525,6.377,19.572,0.10410237191860268,14.68697345737467,0.136,0.131,0.412,0.366,0.049,0.058
F_0,F_2,age,sex,0.5,82.219,80.919,0.049914587955291245,0.049914587955291245,2.357539978722666,0.0064890728633755146,0.9949683342397363,0.18537638462856768,0.010535479402188123,0.04974187163514137,5.927,19.081,0.10282519678455351,14.579324348060986,0.136,0.115,0.412,0.341,0.049,0.044
F_0,F_3,age,capital-gain,0.5,82.219,64.879,0.11885466153946345,0.11885466153946345,4.6270458985874505,0.021882958306810633,0.9960357432680776,0.3668570129457883,0.036218706958808654,0.09445245932397746,26.512,35.121,0.26437385377872624,5.691900462529638,0.136,0.311,0.412,0.417,0.049,0.278
F_0,F_4,age,capital-loss,0.5,82.219,71.665,0.3837780435410797,0.3837780435410797,3.861641092387309,0.015781214576628858,0.9960552240513894,0.2870654662373667,0.026460993028393387,0.08055746661180806,18.334,28.335,0.19644720099535987,7.443502720184392,0.136,0.253,0.412,0.436,0.049,0.195
F_0,F_5,age,hours-per-week,0.5,82.219,77.51,0.1400472686284837,0.1400472686284837,2.9923479239628037,0.00786110555227211,0.995634683630664,0.2073314991854822,0.016894270449919358,0.06367390264667215,10.073,22.49,0.1386291152643392,10.539920965581146,0.136,0.157,0.412,0.357,0.049,0.093
F_1,F_0,race,age,0.5,82.219,80.233,0.06389063442477072,0.06389063442477072,2.4066712438332023,0.005966290170805443,0.9951784506290179,0.17455121969403203,0.011033665693385625,0.05106166242349211,6.408,19.767,0.10316940324560803,15.911767995574657,0.136,0.131,0.412,0.361,0.049,0.059
F_1,F_2,race,sex,0.5,82.219,81.851,0.05210037609580476,0.05210037609580476,2.0809964675860466,0.007561288949112666,0.9957600696146228,0.1663481664978963,0.008178900319434454,0.043516520552388145,4.525,18.149,0.08428492304313293,25.01604562710158,0.136,0.119,0.412,0.369,0.049,0.04
F_1,F_3,race,capital-gain,0.5,82.219,65.677,0.10807389756260322,0.10807389756260322,4.513737669164351,0.02363082814633828,0.9959916894155683,0.3546529761164801,0.03356080055874418,0.0909667878608913,26.553,34.323,0.2537202062086807,6.205351525390716,0.136,0.326,0.412,0.464,0.049,0.282
F_1,F_4,race,capital-loss,0.5,82.219,71.645,0.38421175137005503,0.38421175137005503,3.8670471817682635,0.01723157966825457,0.9960581946732424,0.290677376661308,0.02609630079859055,0.08003448837770996,18.6,28.355,0.19686516644240182,7.317661464697845,0.136,0.269,0.412,0.469,0.049,0.206
F_1,F_5,race,hours-per-week,0.5,82.219,78.411,0.1428719943752894,0.1428719943752894,2.8744452098348594,0.009666382742346123,0.9959066243144565,0.18052151043906695,0.015404412479867706,0.06095441713299708,10.4,21.589,0.1285315968368482,11.658928214122593,0.136,0.174,0.412,0.413,0.049,0.099
F_2,F_0,sex,age,0.5,82.219,80.694,0.04947501492631712,0.04947501492631712,2.350801319732863,0.006004962226206976,0.9948756433013346,0.18063012198013328,0.010549712663263655,0.04975706178818345,5.947,19.306,0.1029105001328749,14.337860503723114,0.136,0.119,0.412,0.345,0.049,0.048
F_2,F_1,sex,race,0.5,82.219,81.943,0.052152701802089196,0.052152701802089196,2.047307430297389,0.007604995227081258,0.9957713149088424,0.16611843592123152,0.007921982649211835,0.04274687141548697,4.371,18.057,0.08323255812019421,23.4944320141813,0.136,0.117,0.412,0.367,0.049,0.038
F_2,F_3,sex,capital-gain,0.5,82.219,65.626,0.0946569659565557,0.0946569659565557,4.52947436114137,0.02233425969452769,0.9960448967494245,0.35476559537908486,0.03434166931592848,0.09199928209010494,26.134,34.374,0.2547822973478893,5.669910964973435,0.136,0.315,0.412,0.441,0.049,0.276
F_2,F_4,sex,capital-loss,0.5,82.219,71.246,0.38291340780886807,0.38291340780886807,3.896662962059015,0.016953071391215834,0.9960453902575733,0.29253753631788665,0.026608523306758183,0.08080572619149104,18.958,28.754,0.199081542536946,6.873712228858594,0.136,0.266,0.412,0.455,0.049,0.206
F_2,F_5,sex,hours-per-week,0.5,82.219,79.322,0.129612623493236,0.129612623493236,2.7724919708401945,0.008081008909989612,0.9957775198051538,0.18518760926272837,0.014481410643818467,0.05892606438432198,8.67,20.678,0.12364625718371951,13.027072884413606,0.136,0.157,0.412,0.395,0.049,0.082
F_3,F_0,capital-gain,age,0.5,82.219,64.991,0.09867472021442703,0.09867472021442703,4.6081039297880295,0.021680930691449232,0.9960286905444851,0.36485477570944086,0.0359840723475809,0.09414044093958021,26.338,35.009,0.26241153043953824,4.885451213045618,0.136,0.31,0.412,0.416,0.049,0.277
F_3,F_1,capital-gain,race,0.5,82.219,65.319,0.11637587670656913,0.11637587670656913,4.529764615428881,0.023820842508628877,0.9959780751996786,0.3560403129404822,0.03375145653541571,0.09121866249219943,26.871,34.681,0.25546572900576975,6.078879759427552,0.136,0.327,0.412,0.459,0.049,0.286
F_3,F_2,capital-gain,sex,0.5,82.219,66.465,0.09547497113579217,0.09547497113579217,4.467438525867317,0.022182391175887918,0.996046895487171,0.34886330582293373,0.03338667189563383,0.09071470128672861,25.253,33.535,0.249042750084047,6.060040400919641,0.136,0.314,0.412,0.456,0.049,0.27
F_3,F_4,capital-gain,capital-loss,0.5,82.219,63.916,0.3931886478042542,0.3931886478042542,4.72579880700089,0.026696015339273904,0.9960908363139503,0.37676038541862344,0.03604525098190997,0.09428635721765238,28.171,36.084,0.2734696262392658,4.851930216194141,0.136,0.35,0.412,0.477,0.049,0.31
F_3,F_5,capital-gain,hours-per-week,0.5,82.219,65.483,0.18094572724381475,0.18094572724381475,4.533544559191384,0.022121448777344087,0.9960555138079898,0.3565805370844227,0.03455687936685074,0.09225756893706676,25.929,34.517,0.25532867472574794,6.234855051024008,0.136,0.313,0.412,0.433,0.049,0.275
F_4,F_0,capital-loss,age,0.5,82.219,71.962,0.3847366091657659,0.3847366091657659,3.8428077676851213,0.01511551344831778,0.9960634446308654,0.2838586063674344,0.026419658184259745,0.08044723016177355,18.2,28.038,0.1948637485081661,7.20180335342227,0.136,0.244,0.412,0.424,0.049,0.187
F_4,F_1,capital-loss,race,0.5,82.219,71.123,0.38443704203416096,0.38443704203416096,3.915811591394936,0.01735215509602816,0.9960715458003958,0.2954137692804707,0.026758351106721617,0.0810395495306435,19.183,28.877,0.20071881023070814,6.877774180938552,0.136,0.27,0.412,0.46,0.049,0.21
F_4,F_2,capital-loss,sex,0.5,82.219,71.594,0.38232238045440003,0.38232238045440003,3.8931431552113867,0.017167218589379446,0.9960648111890571,0.2921200986501314,0.02647066161238046,0.08062471159449904,18.978,28.406,0.19889831080864528,7.131111534728655,0.136,0.268,0.412,0.467,0.049,0.206
