Fold,swap_proportion,Feature,Shap,Importance
2,0.1,trestbps,0.681532271485886,0.11470560637855325
2,0.1,chol,0.14729703827394824,0.1271487750580225
2,0.1,fbs,0.006019963867463998,0.02354497354497354
2,0.1,restecg,0.04522231154655718,0.01489622490310918
2,0.1,thalach,0.09749816864968464,0.09299257363853404
2,0.1,exang,0.0043862776383509225,0.014261629903064284
2,0.1,oldpeak,0.028326038792738806,0.07283349418051753
2,0.1,ca,0.6139389973297208,0.16319662764886544
2,0.1,thal,0.28456142551854513,0.25954861350804154
2,0.3,age,0.0,0.0
2,0.3,sex,0.11633811671763739,0.015471223791185295
2,0.3,cp,0.6667052765010101,0.1014002574451333
2,0.3,trestbps,1.273050132004131,0.11470560637855325
2,0.3,chol,1.1612110553012713,0.1271487750580225
2,0.3,fbs,0.038331247811232164,0.02354497354497354
2,0.3,restecg,0.3218801169987019,0.01489622490310918
2,0.3,thalach,0.307870907059326,0.09299257363853404
2,0.3,exang,0.0293600115991098,0.014261629903064284
2,0.3,oldpeak,0.3797624446690254,0.07283349418051753
2,0.3,ca,1.361980231978956,0.16319662764886544
2,0.3,thal,1.1941074004108145,0.25954861350804154
2,0.5,age,0.0,0.0
2,0.5,sex,0.2058016515444775,0.015471223791185295
2,0.5,cp,1.1607592506088296,0.1014002574451333
2,0.5,trestbps,1.436054651394624,0.11470560637855325
2,0.5,chol,1.294949922890398,0.1271487750580225
2,0.5,fbs,0.051270162117722104,0.02354497354497354
2,0.5,restecg,0.47271009275009296,0.01489622490310918
2,0.5,thalach,0.4354220060557724,0.09299257363853404
2,0.5,exang,0.058891721614472606,0.014261629903064284
2,0.5,oldpeak,0.7236736806832513,0.07283349418051753
2,0.5,ca,2.472367870641624,0.16319662764886544
2,0.5,thal,2.2278620254574326,0.25954861350804154
2,0.7,age,0.0,0.0
2,0.7,sex,0.28705124049856373,0.015471223791185295
2,0.7,cp,1.7105466592370855,0.1014002574451333
2,0.7,trestbps,1.5055809505663824,0.11470560637855325
2,0.7,chol,2.356843587218924,0.1271487750580225
2,0.7,fbs,0.12617711036546223,0.02354497354497354
2,0.7,restecg,0.6279260736047747,0.01489622490310918
2,0.7,thalach,0.9507113320841923,0.09299257363853404
2,0.7,exang,0.46116717421218123,0.014261629903064284
2,0.7,oldpeak,0.8800849047231489,0.07283349418051753
2,0.7,ca,3.260765194583362,0.16319662764886544
2,0.7,thal,3.1162710844395605,0.25954861350804154
3,0.1,age,0.06520970316173792,0.013180360041606163
3,0.1,sex,0.06414178100324394,0.016188724990780768
3,0.1,cp,0.6536741282890242,0.26120059875033075
3,0.1,trestbps,0.015667758506177555,0.07756191586147346
3,0.1,chol,0.08330327578475766,0.17160024543389465
3,0.1,fbs,0.027293250328543336,0.014643825009678662
3,0.1,restecg,0.01655613920002568,0.005024841915085805
3,0.1,thalach,0.4733746380575187,0.1057658943542346
3,0.1,exang,0.0227190475128878,0.0113372995709124
3,0.1,oldpeak,0.17313427639052337,0.07103843066749574
3,0.1,ca,0.33046653422823863,0.1322696924681079
3,0.1,thal,0.5305966628553062,0.12018817093639908
3,0.3,age,0.1877909213228377,0.013180360041606163
3,0.3,sex,0.12650613673888533,0.016188724990780768
3,0.3,cp,1.7144437051807997,0.26120059875033075
3,0.3,trestbps,0.06115879442573993,0.07756191586147346
3,0.3,chol,0.28058991758979857,0.17160024543389465
3,0.3,fbs,0.08699813837372422,0.014643825009678662
3,0.3,restecg,0.03611410257681086,0.005024841915085805
