ID,ID2,Feature,Feature2,Category1,Category2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_1,F_3,sex,trestbps,0.0,>=135.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0,0,0,0,0,0
F_1,F_3,sex,trestbps,0.0,<=134.0,0.5,NDI,50.0,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F_1,F_3,sex,trestbps,0.0,<=134.0,0.5,NII,0,0,0,0,0.13971357903482584,0.0,0.5854905538443584,0.1388888888888889,0.023612852799878493,0.07641317407571208,6.667,6.667,0.13333333333333333,1.0,0,0,0,0,0,0
F_1,F_3,sex,trestbps,1.0,>=135.0,0.5,NDI,55.556,55.556,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,44.444,0.0,0.0,0.444,0.444,0.5,0.5,0.4,0.4
F_1,F_3,sex,trestbps,1.0,>=135.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0,0,0,0,0,0
F_1,F_3,sex,trestbps,1.0,<=134.0,0.5,NDI,93.333,80.0,0,0,0.13971357903482584,0.0,0.5854905538443584,0.1388888888888889,0.023612852799878493,0.07641317407571208,13.333,20.0,0.13333333333333333,1.0,0.6,0.6,1.0,0.875,0.143,0.286
F_1,F_3,sex,trestbps,1.0,<=134.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,0,0
F_1,F_4,sex,chol,0.0,<=245.0,0.5,NDI,66.667,66.667,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.667,0.667,1.0,1.0,0.5,0.5
F_1,F_4,sex,chol,0.0,<=245.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,5.882,0.0,0.0,0,0,0,0,0,0
F_1,F_4,sex,chol,0.0,>=246.0,0.5,NDI,33.333,66.667,0,0,0.098792419159368,0.05232385196076311,0.0,0.4166666666666667,0.03924911882130269,0.09950562917154632,33.333,33.333,0.3333333333333333,1.0,0.333,0.0,0.0,0.0,0.5,0.0
F_1,F_4,sex,chol,0.0,>=246.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0,0,0,0,0,0
F_1,F_4,sex,chol,1.0,<=245.0,0.5,NDI,76.471,76.471,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,23.529,0.0,0.0,0.471,0.471,0.833,0.833,0.273,0.273
F_1,F_4,sex,chol,1.0,<=245.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0,0,0,0,0,0
F_1,F_4,sex,chol,1.0,>=246.0,0.5,NDI,85.714,85.714,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.714,0.714,0.833,0.833,0.0,0.0
F_1,F_4,sex,chol,1.0,>=246.0,0.5,NII,0,0,0,0,0.098792419159368,0.05232385196076311,0.0,0.4166666666666667,0.03924911882130269,0.09950562917154632,33.333,33.333,0.3333333333333333,1.0,0,0,0,0,0,0
F_1,F_5,sex,fbs,1.0,0.0,0.5,NDI,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.55,0.55,0.818,0.818,0.222,0.222
F_1,F_5,sex,fbs,1.0,0.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0
F_1,F_5,sex,fbs,1.0,1.0,0.5,NDI,75.0,75.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.5,0.5,1.0,1.0,0.333,0.333
F_1,F_5,sex,fbs,1.0,1.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
F_1,F_6,sex,restecg,1.0,0.0,0.5,NDI,61.538,61.538,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,38.462,0.0,0.0,0.462,0.462,0.6,0.6,0.375,0.375
F_1,F_6,sex,restecg,1.0,0.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0,0,0,0,0,0
F_1,F_6,sex,restecg,1.0,2.0,0.5,NDI,100.0,100.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.636,1.0,1.0,0.0,0.0
F_1,F_6,sex,restecg,1.0,2.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0,0,0,0,0,0
F_1,F_7,sex,thalach,0.0,>=147.0,0.5,NDI,40.0,40.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.4,0.4,0.0,0.0,0.5,0.5
F_1,F_7,sex,thalach,0.0,>=147.0,0.5,NII,0,0,0,0,0.13971357903482584,0.022424507983184194,0.5976143046671968,0.25396825396825395,0.02165734544487903,0.07341043583163798,7.143,7.143,0.14285714285714285,1.0,0,0,0,0,0,0
F_1,F_7,sex,thalach,0.0,<=146.0,0.5,NDI,100.0,100.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0
F_1,F_7,sex,thalach,0.0,<=146.0,0.5,NII,0,0,0,0,0,0,0.6069769786668839,0,0,0,10.0,10.0,0,0,0,0,0,0,0,0
F_1,F_7,sex,thalach,1.0,>=147.0,0.5,NDI,78.571,64.286,0,0,0.13971357903482584,0.022424507983184194,0.5976143046671968,0.25396825396825395,0.02165734544487903,0.07341043583163798,14.286,35.714,0.14285714285714285,1.0,0.357,0.5,0.667,0.667,0.125,0.375
F_1,F_7,sex,thalach,1.0,>=147.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0
F_1,F_7,sex,thalach,1.0,<=146.0,0.5,NDI,80.0,90.0,0,0,0.098792419159368,0.015697155588228942,0.6069769786668839,0.22916666666666669,0.016014077989675655,0.06312590679710357,10.0,10.0,0.1,1.0,0.8,0.7,1.0,1.0,0.5,0.25
F_1,F_7,sex,thalach,1.0,<=146.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
F_1,F_8,sex,exang,1.0,0.0,0.5,NDI,71.429,64.286,0,0,0.098792419159368,0.011212253991592095,0.6546536707079771,0.1339285714285714,0.011713483438325931,0.05392164457109302,7.143,35.714,0.07142857142857142,1.0,0.429,0.5,0.667,0.667,0.25,0.375
F_1,F_8,sex,exang,1.0,0.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,16.667,0.0,0.0,0,0,0,0,0,0
F_1,F_8,sex,exang,1.0,1.0,0.5,NDI,90.0,100.0,0,0,0.098792419159368,0.015697155588228935,0.6255432421712243,0.1964285714285714,0.0159267860645232,0.0629466586081348,10.0,0.0,0.1,1.0,0.7,0.6,1.0,1.0,0.25,0.0
