ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_2,sex,1,0.1,77.633,77.694,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.004772295229505582,0.6157352435619015,0.09765445347233352,0.018577017261502345,0.06840562161247886,0.7131365280692472,0.001840056105073777,0.6941494520894372,0.031046239844427337,0.0014316107478042218,0.01832926960248137,1.042,22.306,0.179,0.172,0.428,0.417,0.07,0.064
F_3,capital-gain,<=3471,0.1,81.349,81.349,0.000441886289783472,0.00010237510237510488,13.36884967451731,0.03659046813795513,0.9902772669477138,0.483933327693997,inf,0.22795763576954067,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,18.651,0.092,0.092,0.267,0.267,0.047,0.047
F_3,capital-gain,>=3674,0.1,95.362,95.362,0.000441886289783472,0.00010237510237510488,13.36884967451731,0.03659046813795513,0.9902772669477138,0.483933327693997,inf,0.22795763576954067,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,4.638,0.783,0.783,0.969,0.969,0.103,0.103
F_4,capital-loss,<=1876,0.1,81.946,81.934,0.00041394186844118943,0.00010237510237510299,13.627458733265959,0.038019783299594004,0.9868841644177269,0.7290623998388136,inf,0.2280627440926609,0.098792419159368,1.8331374037404122e-05,0.7069077241162267,0.00033319029302883376,2.043556680759999e-05,0.0022313960633159754,0.012,18.066,0.118,0.117,0.36,0.36,0.047,0.047
F_4,capital-loss,>=1887,0.1,91.968,88.353,0.00041394186844118943,0.00010237510237510299,13.627458733265959,0.038019783299594004,0.9868841644177269,0.7290623998388136,inf,0.2280627440926609,0.32220888127380215,0.006811284624300364,0.6668985840505957,0.10048571986068348,0.0072277834931287685,0.04243485500353775,4.418,11.647,0.747,0.703,0.937,0.884,0.136,0.119
F_5,hours-per-week,<=40,0.1,86.995,86.901,0.00519751836697708,0.0001023751023751026,1.136459591334931,0.0001927157458156676,0.9883041514914045,0.057103355639582465,inf,0.8444864282249364,0.42189123029292586,0.00024765933707293305,0.6958579248767913,0.008375301706116419,0.0005030322535888375,0.011096311055425186,0.375,13.099,0.063,0.065,0.31,0.313,0.011,0.012
F_5,hours-per-week,>=41,0.1,70.746,70.86,0.00519751836697708,0.0001023751023751026,1.136459591334931,0.0001927157458156676,0.9883041514914045,0.057103355639582465,inf,0.8444864282249364,0.30124948112558464,0.0004958526274859467,0.7030766238993061,0.008822749496785416,0.000608014682443104,0.012180447771013334,0.497,29.14,0.327,0.323,0.542,0.539,0.178,0.174
F_0,age,>=38,0.3,74.839,74.964,0.02056927144086716,0.00010237510237510191,1.7654634397391216e-31,1.9358472728923137e-66,0.9832212039066626,0.13095445675880596,inf,0.5692453467337626,1.2309744824610795,0.007444722939475582,0.6620962843938369,0.10781732763324878,0.005533150912957909,0.03589305227779466,3.791,25.036,0.21,0.181,0.441,0.401,0.085,0.062
F_0,age,<=37,0.3,88.524,87.397,0.02056927144086716,0.00010237510237510191,1.7654634397391216e-31,1.9358472728923137e-66,0.9832212039066626,0.13095445675880596,inf,0.5692453467337626,0.8811145715694577,0.002302372643548423,0.6209184146671523,0.08430487050560505,0.003448661553563269,0.028641813744256693,3.051,12.603,0.073,0.084,0.353,0.355,0.026,0.039
F_1,race,0,0.3,86.944,87.59,0.060006141877367185,0.3000307093868359,5.348494203636101,0.034370166652903766,0.28806415486367404,0.3026865671641396,0.04913212821562817,0.1110667695328342,0.44601567569773226,0.002266463233779947,0.6661609645169998,0.0751935581854985,0.002706934253755717,0.025393987648869507,1.65,12.41,0.083,0.085,0.346,0.374,0.036,0.033
