"Swap 
 Percentage",Measurement,Feature,age,balance,default,campaign,job,education,loan,housing,duration,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Total variation
 distance",age,-,0.201/0.1626,0.2072/0.0135,0.1927/0.159,0.2235/0.0768,0.2146/0.0646,0.2157/0.1304,0.2143/0.1433,0.1942/0.3424,,0.20803503938103426,0.20803503938103426,0.7543052444916317,3.848346939215201,[],"[0.16261963775105553, 0.013535016539493466, 0.15897007435016658, 0.07679581544600561, 0.06459670496307594, 0.13036581122392474, 0.14329633341298284, 0.34236101653449025]","[0.5262438244371335, 0.23428009553280155, 0.51060918323191, 0.3771003565142169, 0.34379504687907975, 0.4764731345809827, 0.5008945115479528, 0.8789507864911237]"
50%,"Jensen-Shannon
 divergence",age,-,0.0809/0.0759,0.0798/0.0122,0.0768/0.067,0.0832/0.0501,0.0821/0.0441,0.0792/0.0593,0.0825/0.0711,0.072/0.1005,,0.08163869517897489,0.08163869517897489,0.3218038623587622,1.1168952074748204,[],"[0.07593394279686655, 0.012172982526050185, 0.0670457826310637, 0.05013818050278977, 0.04412421606383036, 0.05930979903716781, 0.07107319924710052, 0.10053223155470574]","[0.15685993066887705, 0.09197917883472981, 0.14381328007133568, 0.13337668847129608, 0.126265220623387, 0.13846981174425393, 0.15358979573065473, 0.17254130133028595]"
70%,"Hellinger
 distance",age,-,0.9178/0.8919,0.9497/0.1138,0.9186/0.8195,0.9941/0.6054,0.9423/0.5028,0.9584/0.681,0.9394/0.8929,0.8803/1.2588,,0.9541073196289149,0.9541073196289149,3.8370883015063955,13.266565447051933,[],"[0.8918710933550621, 0.1137602743966764, 0.8195241858382355, 0.6053968073232314, 0.5027816189284816, 0.6809523443129738, 0.8928817753791384, 1.2587938642211614]","[1.8096939132657428, 1.0634353179525462, 1.7381283199467115, 1.599498697005909, 1.445091775739329, 1.6393354239130622, 1.8322587971445388, 2.139123202084093]"
70%,"Wasserstein
 distance",age,-,0.0119/0.0039,0.012/0.0009,0.0109/0.0116,0.0119/0.0031,0.0104/0.0026,0.0169/0.0079,0.0126/0.0054,0.0145/0.0257,,0.011582268581648266,0.011582268581648266,0.042178720909456936,0.1622571960806483,[],"[0.00392362475759643, 0.00088831979672729, 0.01161400774386393, 0.0030723639721840753, 0.00263863017444779, 0.00789416954559417, 0.00544671749938037, 0.025715071165823288]","[0.01586873717062298, 0.012894464263332406, 0.022468640821572055, 0.014942561065476138, 0.013035877314205697, 0.024754760827803732, 0.018034815671363464, 0.04025733894627185]"
70%,"Total variation
 distance",age,-,0.2852/0.213,0.2997/0.0155,0.2663/0.2178,0.301/0.113,0.2833/0.0811,0.3181/0.1673,0.3057/0.2133,0.2835/0.4647,,0.2941436681534035,0.2941436681534035,1.037025613208022,5.314590777883897,[],"[0.21301935812089293, 0.015528316791543501, 0.2177863772529609, 0.11301785057627149, 0.08109777150814365, 0.16733072188526532, 0.21331806701503173, 0.46466542695912716]","[0.7112517657645173, 0.33079212436405314, 0.7019046183844352, 0.5270766301041792, 0.4455311306858677, 0.6527887598176583, 0.7323655479205314, 1.2128802008426542]"
70%,"Jensen-Shannon
 divergence",age,-,0.0953/0.0881,0.0981/0.0119,0.091/0.0786,0.0993/0.0619,0.0969/0.0515,0.0971/0.0687,0.0992/0.0863,0.0885/0.1198,,0.09761033384128506,0.09761033384128506,0.38100337606684576,1.3320930068844792,[],"[0.08814204444343883, 0.011853740577168186, 0.07862162499654264, 0.06187900889620272, 0.05149981598641305, 0.06869678343411428, 0.08626320857383278, 0.11982985754340894]","[0.1833945166348825, 0.1099637670732145, 0.16963939125042823, 0.16113396592824536, 0.1484098623983558, 0.1657707170474378, 0.1854774290901226, 0.20830335746179235]"
10%,"Hellinger
 distance",balance,-,-,0.3704/0.0578,0.343/0.3264,-,-,-,0.376/0.3645,0.3109/0.5213,,0.37545861297242533,0.37545861297242533,1.0104762969502965,2.670412789438449,[],"[0.05782686962576411, 0.32640453715128914, 0.3644721500465168, 0.5213318111321725]","[0.4282653919882381, 0.6694090858185963, 0.7404739469295887, 0.8322643647020259]"
10%,"Wasserstein
 distance",balance,-,-,0.0013/0.0002,0.0011/0.0016,-,-,-,0.002/0.001,0.001/0.0063,,0.0014113879918074,0.0014113879918074,0.005989598795405733,0.014525945134170751,[],"[0.00023871047946183002, 0.0016253159050957848, 0.0009731564633412499, 0.0063192387592978004]","[0.00153629573228979, 0.00268601121890395, 0.003001254225904035, 0.0073023839570729755]"
10%,"Total variation
 distance",balance,-,-,0.0395/0.0032,0.033/0.0346,-,-,-,0.0449/0.0357,0.0282/0.0982,,0.04124824312414451,0.04124824312414451,0.1271279649279215,0.489163617842555,[],"[0.0032496068909977547, 0.03458761060167283, 0.035721012093968205, 0.09820121402091517]","[0.04600748760440286, 0.10221943380872629, 0.11632193508011728, 0.22461476134930858]"
10%,"Jensen-Shannon
 divergence",balance,-,-,0.0345/0.0047,0.0313/0.03,-,-,-,0.0351/0.0332,0.0288/0.0478,,0.03515490196773285,0.03515490196773285,0.09298428670001224,0.2453518609509661,[],"[0.0046787731807060706, 0.02998092559333953, 0.033218055536806484, 0.04778101515370671]","[0.039164144415453725, 0.06124055039112899, 0.06834957689111189, 0.07659758925327151]"
30%,"Hellinger
 distance",balance,-,-,0.6448/0.1082,0.6012/0.5667,-,-,-,0.6497/0.628,0.5402/0.9105,,0.6448495083603698,0.6448495083603698,1.7515246563415023,4.649200643037938,[],"[0.10816821498308163, 0.5666939529624924, 0.6279768129081731, 0.9105113151085181]","[0.7529345574806563, 1.1679277948179279, 1.2776619065530226, 1.4506763841863317]"
30%,"Wasserstein
 distance",balance,-,-,0.0042/0.0007,0.0027/0.0038,-,-,-,0.0047/0.0023,0.0014/0.0169,,0.003402383691505885,0.003402383691505885,0.015228280548786631,0.03661491540076687,[],"[0.0006936371566754949, 0.00376727349350416, 0.00229150389171264, 0.016899379172669197]","[0.00489286275718147, 0.006426809957632311, 0.00697902270153823, 0.018316219984414857]"
30%,"Total variation
 distance",balance,-,-,0.1199/0.0099,0.0957/0.0943,-,-,-,0.1207/0.0981,0.0722/0.2552,,0.11446047436614845,0.11446047436614845,0.3431634731709149,1.3232758839557262,[],"[0.009856218239971449, 0.09431911829383091, 0.09806427702619755, 0.25516638404953296]","[0.13962575515424192, 0.2843058753752804, 0.3168590392227766, 0.5824852142034274]"
30%,"Jensen-Shannon
 divergence",balance,-,-,0.0606/0.0097,0.055/0.0526,-,-,-,0.0607/0.0576,0.0498/0.0815,,0.060575279045173444,0.060575279045173444,0.16131424372261927,0.4275958882141565,[],"[0.009708880658834185, 0.052626276343217135, 0.05763956190106891, 0.08150321045177139]","[0.0703188956915694, 0.10764743079868389, 0.11835319278034101, 0.1312763689435622]"
50%,"Hellinger
 distance",balance,-,-,0.8363/0.1499,0.7706/0.718,-,-,-,0.8281/0.8117,0.6943/1.1748,,0.8249985640129346,0.8249985640129346,2.252172403359031,5.983652273695349,[],"[0.1498514320455336, 0.718002980741508, 0.8116613553481014, 1.1748319105570495]","[0.9861934381672623, 1.488558319235322, 1.6397434488623386, 1.8691570674304263]"
50%,"Wasserstein
 distance",balance,-,-,0.0056/0.001,0.0041/0.0067,-,-,-,0.007/0.0028,0.0025/0.028,,0.0048438396223265,0.0048438396223265,0.024099743403633356,0.057744911349592365,[],"[0.00100454158085023, 0.006733534749804175, 0.0028174917831931398, 0.027956239448766164]","[0.0066515220393800496, 0.010809698926096564, 0.009828886741758941, 0.030454803642356813]"
50%,"Total variation
 distance",balance,-,-,0.1891/0.0154,0.1516/0.1509,-,-,-,0.1876/0.1533,0.124/0.3942,,0.17918969224599374,0.17918969224599374,0.5360371630536307,2.079661656776068,[],"[0.015374474426269954, 0.15087249807472336, 0.15326442869741785, 0.39418354041686265]","[0.21987082959640403, 0.45335395323877165, 0.4941040883347121, 0.9123327856061805]"
50%,"Jensen-Shannon
 divergence",balance,-,-,0.0788/0.014,0.0706/0.0662,-,-,-,0.0771/0.0741,0.0641/0.1023,,0.07733766664712563,0.07733766664712563,0.20559721456400357,0.5471713095637115,[],"[0.013954513858668924, 0.06615632336992432, 0.07406262198270122, 0.10234563662246143]","[0.09280445713077443, 0.1367945170776978, 0.1511625708737246, 0.16640976448151468]"
70%,"Hellinger
 distance",balance,-,-,0.9641/0.1776,0.9076/0.8455,-,-,-,0.998/0.9604,0.8363/1.3817,,0.9774080699921228,0.9774080699921228,2.6600292278122177,7.071362620034778,[],"[0.1775664966191582, 0.8455142777550526, 0.9604394093159904, 1.3817221319499882]","[1.1417132328483741, 1.753154433794545, 1.9584849833101456, 2.2180099700817135]"
70%,"Wasserstein
 distance",balance,-,-,0.0076/0.0015,0.0047/0.0088,-,-,-,0.0102/0.0047,0.0037/0.0366,,0.00808149243388907,0.00808149243388907,0.03390640612548307,0.07776241489302567,[],"[0.001525600924715775, 0.008827727623833255, 0.004714683218869205, 0.03658181561576977]","[0.009079982473653315, 0.01348316430297185, 0.014913240991888595, 0.04028602712451191]"
70%,"Total variation
 distance",balance,-,-,0.2457/0.0233,0.2046/0.2028,-,-,-,0.2629/0.2116,0.191/0.5065,,0.2540646627395868,0.2540646627395868,0.7261602323356453,2.792515744046364,[],"[0.023277944326113912, 0.2027578420883029, 0.2116259963088817, 0.5065293564688187]","[0.29225319291581336, 0.6101124543332606, 0.6861046310252356, 1.2040454657720547]"
70%,"Jensen-Shannon
 divergence",balance,-,-,0.0903/0.016,0.0834/0.0775,-,-,-,0.0927/0.0873,0.0775/0.1171,,0.09166573995832605,0.09166573995832605,0.24060213417091975,0.6416598671936531,[],"[0.015985378584158643, 0.07750284299358308, 0.08725123496591193, 0.11713333188153374]","[0.10623676664004338, 0.16089902899017883, 0.17991201269638465, 0.19461205886704627]"
10%,"Hellinger
 distance",default,-,-,-,-,-,-,-,-,-,,0.0304393158789882,0.0304393158789882,0.0304393158789882,0,[],[],[]
10%,"Wasserstein
 distance",default,-,-,-,-,-,-,-,-,-,,7.80115720968e-05,7.80115720968e-05,7.80115720968e-05,0,[],[],[]
10%,"Total variation
 distance",default,-,-,-,-,-,-,-,-,-,,0.001131842475176935,0.001131842475176935,0.001131842475176935,0,[],[],[]
10%,"Jensen-Shannon
 divergence",default,-,-,-,-,-,-,-,-,-,,0.001936930185696285,0.001936930185696285,0.001936930185696285,0,[],[],[]
30%,"Hellinger
 distance",default,-,-,-,-,-,-,-,-,-,,0.09075583928051896,0.09075583928051896,0.09075583928051896,0,[],[],[]
30%,"Wasserstein
 distance",default,-,-,-,-,-,-,-,-,-,,0.00074665254701204,0.00074665254701204,0.00074665254701204,0,[],[],[]
30%,"Total variation
 distance",default,-,-,-,-,-,-,-,-,-,,0.01025114604889381,0.01025114604889381,0.01025114604889381,0,[],[],[]
30%,"Jensen-Shannon
 divergence",default,-,-,-,-,-,-,-,-,-,,0.00800380909811666,0.00800380909811666,0.00800380909811666,0,[],[],[]
50%,"Hellinger
 distance",default,-,-,-,-,-,-,-,-,-,,0.13039870773727585,0.13039870773727585,0.13039870773727585,0,[],[],[]
50%,"Wasserstein
 distance",default,-,-,-,-,-,-,-,-,-,,0.00192004183446107,0.00192004183446107,0.00192004183446107,0,[],[],[]
50%,"Total variation
 distance",default,-,-,-,-,-,-,-,-,-,,0.029686112831168586,0.029686112831168586,0.029686112831168586,0,[],[],[]
50%,"Jensen-Shannon
 divergence",default,-,-,-,-,-,-,-,-,-,,0.013694420643285595,0.013694420643285595,0.013694420643285595,0,[],[],[]
70%,"Hellinger
 distance",default,-,-,-,-,-,-,-,-,-,,0.1512340375726841,0.1512340375726841,0.1512340375726841,0,[],[],[]
70%,"Wasserstein
 distance",default,-,-,-,-,-,-,-,-,-,,0.0020766097803108204,0.0020766097803108204,0.0020766097803108204,0,[],[],[]
70%,"Total variation
 distance",default,-,-,-,-,-,-,-,-,-,,0.03244854744339112,0.03244854744339112,0.03244854744339112,0,[],[],[]
70%,"Jensen-Shannon
 divergence",default,-,-,-,-,-,-,-,-,-,,0.01500815710909172,0.01500815710909172,0.01500815710909172,0,[],[],[]
10%,"Hellinger
 distance",campaign,-,-,0.08/0.0352,-,-,-,-,-,-,,0.09501600756271157,0.09501600756271157,0.11261810964136895,0.11520680586454621,[],[0.03520420415731477],[0.11520680586454621]
10%,"Wasserstein
 distance",campaign,-,-,0.0001/0.0001,-,-,-,-,-,-,,0.00017862514955694443,0.00017862514955694443,0.0002450951330459833,0.0002520759759098222,[],[0.00013293996697807776],[0.0002520759759098222]
10%,"Total variation
 distance",campaign,-,-,0.0027/0.0019,-,-,-,-,-,-,,0.003557422442922478,0.003557422442922478,0.004489190606570558,0.0064378460564655775,[],[0.001863536327296161],[0.0064378460564655775]
10%,"Jensen-Shannon
 divergence",campaign,-,-,0.0053/0.0022,-,-,-,-,-,-,,0.006300312625938895,0.006300312625938895,0.007413587911150548,0.00753057122422935,[],[0.0022265505704233057],[0.00753057122422935]
30%,"Hellinger
 distance",campaign,-,-,0.1409/0.0761,-,-,-,-,-,-,,0.1573561509078312,0.1573561509078312,0.19540139501961215,0.21703743883032656,[],[0.07609048822356189],[0.21703743883032656]
30%,"Wasserstein
 distance",campaign,-,-,0.0003/0.0003,-,-,-,-,-,-,,0.001260958692456361,0.001260958692456361,0.001401840025280361,0.0005635103980015667,[],[0.000281762665648],[0.0005635103980015667]
30%,"Total variation
 distance",campaign,-,-,0.008/0.0044,-,-,-,-,-,-,,0.026173238878127527,0.026173238878127527,0.02835766787655256,0.016774636440402203,[],[0.004368857996850067],[0.016774636440402203]
30%,"Jensen-Shannon
 divergence",campaign,-,-,0.0103/0.0048,-,-,-,-,-,-,,0.014676619254230769,0.014676619254230769,0.017085608730254737,0.015144775295595905,[],[0.004817978952047938],[0.015144775295595905]
50%,"Hellinger
 distance",campaign,-,-,0.1819/0.1065,-,-,-,-,-,-,,0.17485429558200338,0.17485429558200338,0.228113806826142,0.28840610846808246,[],[0.10651902248827722],[0.28840610846808246]
50%,"Wasserstein
 distance",campaign,-,-,0.0014/0.0004,-,-,-,-,-,-,,0.001388882517399078,0.001388882517399078,0.0016003106147885224,0.001843861687139339,[],[0.00042285619477888886],[0.001843861687139339]
50%,"Total variation
 distance",campaign,-,-,0.0327/0.0069,-,-,-,-,-,-,,0.03273319784230767,0.03273319784230767,0.036193173386521546,0.04656041819620161,[],[0.006919951088427761],[0.04656041819620161]
50%,"Jensen-Shannon
 divergence",campaign,-,-,0.0182/0.0067,-,-,-,-,-,-,,0.017505998849705617,0.017505998849705617,0.020878482578233794,0.024973757257192933,[],[0.006744967457056356],[0.024973757257192933]
70%,"Hellinger
 distance",campaign,-,-,0.2083/0.1229,-,-,-,-,-,-,,0.2136406217855381,0.2136406217855381,0.2750858130177264,0.3311917753867313,[],[0.12289038246437656],[0.3311917753867313]
70%,"Wasserstein
 distance",campaign,-,-,0.0017/0.0006,-,-,-,-,-,-,,0.00394936767359445,0.00394936767359445,0.004227290231338536,0.0022918539524444666,[],[0.0005558451154881722],[0.0022918539524444666]
70%,"Total variation
 distance",campaign,-,-,0.0451/0.0089,-,-,-,-,-,-,,0.05894953103350415,0.05894953103350415,0.0634216886057813,0.06298076092256215,[],[0.008944315144554316],[0.06298076092256215]
70%,"Jensen-Shannon
 divergence",campaign,-,-,0.0234/0.0078,-,-,-,-,-,-,,0.02594240968337101,0.02594240968337101,0.029827726747663902,0.03119293680832734,[],[0.007770634128585789],[0.03119293680832734]
10%,"Hellinger
 distance",job,-,0.1844/0.3988,0.1671/0.0407,0.1716/0.33,-,-,0.1532/0.2656,0.1862/0.3752,0.1303/0.5565,,0.16665963094236913,0.16665963094236913,1.150029599387827,2.9594777516816553,[],"[0.3988293153434338, 0.040715520687097474, 0.32995825786610833, 0.2655625908281095, 0.3752157674448165, 0.55645848472135]","[0.583226507935527, 0.20781230307686904, 0.5015793238804966, 0.41873645246326374, 0.5613820252903431, 0.6867411390351559]"
10%,"Wasserstein
 distance",job,-,0.0005/0.0011,0.0005/0.0002,0.0006/0.0013,-,-,0.0004/0.001,0.0004/0.0011,0.0004/0.0062,,0.00049408937823232,0.00049408937823232,0.005968440429723058,0.013738813022982431,[],"[0.00114496290089703, 0.000156915059781155, 0.00133399944203548, 0.00101428951268045, 0.00111056943927749, 0.00618796574830987]","[0.00169084989432219, 0.00061987631739291, 0.0019030177932639, 0.001444132512164195, 0.0015107781953726052, 0.00657015831046663]"
10%,"Total variation
 distance",job,-,0.0139/0.041,0.0115/0.0023,0.0116/0.0326,-,-,0.0108/0.0226,0.0131/0.037,0.0077/0.1019,,0.0115366066113995,0.0115366066113995,0.13022013724741852,0.5432910918078835,[],"[0.04099889779337683, 0.0022569592272783353, 0.03259224341316898, 0.0226285804307257, 0.03700463499227174, 0.10188574541521647]","[0.09588150716535773, 0.016036758398415035, 0.0767540775602478, 0.0560717122259302, 0.08711759949102099, 0.21142943696691174]"
10%,"Jensen-Shannon
 divergence",job,-,0.0179/0.036,0.0163/0.0035,0.016/0.0301,-,-,0.0151/0.0237,0.018/0.0339,0.0123/0.0497,,0.01616074590714669,0.01616074590714669,0.104599793645998,0.2725413454211059,[],"[0.035981434317725554, 0.00353777421594048, 0.03007122093257154, 0.023704366845594294, 0.033862290455314456, 0.04972100871055631]","[0.05391675820491723, 0.019864662629276556, 0.04609845967131239, 0.038769686581687876, 0.05183717765218433, 0.0620546006817275]"
30%,"Hellinger
 distance",job,-,0.3357/0.6821,0.3096/0.1102,0.3457/0.582,-,-,0.2995/0.501,0.3246/0.6258,0.2693/0.9511,,0.31386162083130265,0.31386162083130265,2.039937716673192,5.336597831377359,[],"[0.6820718156356531, 0.11020944313789323, 0.5820062442071233, 0.5009871127138735, 0.6258066049589703, 0.951070971030265]","[1.0177769706187576, 0.41978524020420943, 0.927737687193008, 0.8005168484448835, 0.9503877832881622, 1.2203933016283384]"
30%,"Wasserstein
 distance",job,-,0.001/0.0019,0.0012/0.0005,0.0012/0.004,-,-,0.0011/0.003,0.001/0.0024,0.001/0.0171,,0.00104035531138002,0.00104035531138002,0.015470528301736468,0.03546770961877835,[],"[0.0018533565369803651, 0.00053806381516651, 0.00396227563972079, 0.0029842454509784047, 0.002373826155680905, 0.01714857838218592]","[0.002850963327241975, 0.0017285895045180098, 0.00521042547779599, 0.004100347236216075, 0.00341261493199339, 0.01816476914101291]"
30%,"Total variation
 distance",job,-,0.0377/0.1081,0.0372/0.0086,0.037/0.0962,-,-,0.0339/0.0714,0.0379/0.096,0.0258/0.26,,0.0358715684496166,0.0358715684496166,0.356040955773201,1.4900896722022308,[],"[0.10809938655262252, 0.008638752047469984, 0.09621322519378854, 0.07141245832278173, 0.09601657778696573, 0.25995837474354033]","[0.2538924821676657, 0.05445333280644583, 0.2293797805117609, 0.1767623262824107, 0.22993376500049872, 0.545667985433449]"
30%,"Jensen-Shannon
 divergence",job,-,0.0332/0.0616,0.0309/0.0095,0.0329/0.0525,-,-,0.0298/0.045,0.0325/0.0565,0.0264/0.0825,,0.03135733945785203,0.03135733945785203,0.18512727654901195,0.4931537704915209,[],"[0.061589390047561685, 0.00953395569205585, 0.05246445581508837, 0.04500107678372215, 0.0564670008925373, 0.08248399495135451]","[0.09477690416447115, 0.04043042846760492, 0.08535036556408958, 0.07482741385560987, 0.08892937109675726, 0.10883928734298814]"
50%,"Hellinger
 distance",job,-,0.4309/0.8892,0.4274/0.1559,0.4451/0.7286,-,-,0.3853/0.6595,0.4267/0.8023,0.3523/1.2272,,0.43560127306706287,0.43560127306706287,2.666976088244294,6.930489434625382,[],"[0.8891983364514788, 0.15588989357955757, 0.7286456002925785, 0.6595078577050583, 0.8022877022259693, 1.2272202400998204]","[1.3201333253585479, 0.5832430655495815, 1.1737031486221965, 1.0448526818636183, 1.2290120285547577, 1.5795451846766797]"
50%,"Wasserstein
 distance",job,-,0.0019/0.0034,0.0018/0.0008,0.0015/0.0065,-,-,0.0017/0.0054,0.0014/0.0036,0.0014/0.0279,,0.00194816095416858,0.00194816095416858,0.025787303245816226,0.0573172324117546,[],"[0.003425359287441725, 0.00082471910454123, 0.0064902944036261, 0.00543908177126269, 0.003568628849995835, 0.027930201166427714]","[0.0053688810942539595, 0.00258618908760734, 0.008007449566245555, 0.007121762715917075, 0.004939726220530505, 0.029293223727200158]"
50%,"Total variation
 distance",job,-,0.0654/0.1826,0.0657/0.0143,0.0586/0.1489,-,-,0.0556/0.1221,0.062/0.154,0.0444/0.3974,,0.06852051862622148,0.06852051862622148,0.5781493159761458,2.390159539265801,[],"[0.1826440879988181, 0.01425669108145974, 0.14887221518996346, 0.1220823616657298, 0.15401189116386887, 0.39739034760000874]","[0.43065706076631877, 0.09422434871659036, 0.35637130299191555, 0.29973557230305137, 0.37002540563071495, 0.8391458488572101]"
50%,"Jensen-Shannon
 divergence",job,-,0.044/0.0804,0.0438/0.0135,0.0432/0.0653,-,-,0.0395/0.0591,0.0437/0.0725,0.0356/0.1033,,0.04459545356871085,0.04459545356871085,0.24162590903613318,0.6438693055075015,[],"[0.08038270797894086, 0.013454601588259169, 0.06534688300419086, 0.059083121687130834, 0.07250165331578348, 0.10329194336053948]","[0.12438626965009943, 0.05721896823244655, 0.10857581047869984, 0.09856778642538706, 0.11624546988360496, 0.13887500083726373]"
