"Swap 
 Percentage",Measurement,Feature,Saving,Age,Credit,Purpose,Checking,Sex,Job,Housing,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Hellinger
 distance",Purpose,-,-,-,-,-,-,-,-,,0.07890892090424119,0.07890892090424119,0.07890892090424119,0,[],[],[]
50%,"Wasserstein
 distance",Purpose,-,-,-,-,-,-,-,-,,0.006505237141035655,0.006505237141035655,0.006505237141035655,0,[],[],[]
50%,"Total variation
 distance",Purpose,-,-,-,-,-,-,-,-,,0.08692258872018932,0.08692258872018932,0.08692258872018932,0,[],[],[]
50%,"Jensen-Shannon
 divergence",Purpose,-,-,-,-,-,-,-,-,,0.03525963746656622,0.03525963746656622,0.03525963746656622,0,[],[],[]
70%,"Hellinger
 distance",Purpose,-,-,-,-,-,-,-,-,,0.08913921087310564,0.08913921087310564,0.08913921087310564,0,[],[],[]
70%,"Wasserstein
 distance",Purpose,-,-,-,-,-,-,-,-,,0.0072717931335335995,0.0072717931335335995,0.0072717931335335995,0,[],[],[]
70%,"Total variation
 distance",Purpose,-,-,-,-,-,-,-,-,,0.10992022779851725,0.10992022779851725,0.10992022779851725,0,[],[],[]
70%,"Jensen-Shannon
 divergence",Purpose,-,-,-,-,-,-,-,-,,0.04089547121811356,0.04089547121811356,0.04089547121811356,0,[],[],[]
10%,"Hellinger
 distance",Checking,-,-,0.0263/0.0418,0.0017/0.0033,-,-,-,-,,0.05501664961040407,0.05501664961040407,0.07756511784968181,0.07302668507584832,[],"[0.04180385583990989, 0.0032930806386456]","[0.06805915665484055, 0.004967528421007769]"
10%,"Wasserstein
 distance",Checking,-,-,0.0051/0.0045,0.0003/0.0004,-,-,-,-,,0.00519817731868624,0.00519817731868624,0.007638866680646891,0.01028641787369161,[],"[0.004518962433283985, 0.0003624162906373183]","[0.009628386600225122, 0.0006580312734664878]"
10%,"Total variation
 distance",Checking,-,-,0.0581/0.0599,0.0053/0.0067,-,-,-,-,,0.06977757548409722,0.06977757548409722,0.10312407851810024,0.19678333385449098,[],"[0.059946974321974295, 0.006746031746031745]","[0.17799466019293597, 0.018788673661555014]"
10%,"Jensen-Shannon
 divergence",Checking,-,-,0.0175/0.0221,0.0011/0.0018,-,-,-,-,,0.025954858277564812,0.025954858277564812,0.03789688647855731,0.042536931621274296,[],"[0.022125857752382225, 0.0017581986496027734]","[0.03965400850374876, 0.0028829231175255326]"
30%,"Hellinger
 distance",Checking,-,-,0.0564/0.0936,0.0081/0.0124,-,-,-,-,,0.11124424827986185,0.11124424827986185,0.1642799623375751,0.17057188332291837,[],"[0.0936227963665195, 0.012448631748907032]","[0.15003830248268274, 0.020533580840235634]"
30%,"Wasserstein
 distance",Checking,-,-,0.0098/0.0094,0.0015/0.0017,-,-,-,-,,0.010181212556464677,0.010181212556464677,0.015718944285097305,0.02244528194552263,[],"[0.009369894261564109, 0.0017055691957011448]","[0.0192194071238429, 0.0032258748216797296]"
30%,"Total variation
 distance",Checking,-,-,0.1307/0.1469,0.0173/0.0201,-,-,-,-,,0.1678471448036665,0.1678471448036665,0.2513372195437412,0.4819347362867233,[],"[0.14685358622858619, 0.02012656325156325]","[0.42437934989659115, 0.05755538639013215]"
30%,"Jensen-Shannon
 divergence",Checking,-,-,0.0379/0.0503,0.0048/0.0064,-,-,-,-,,0.05566006736840881,0.05566006736840881,0.08399552501141645,0.09936156015748203,[],"[0.05031785334663915, 0.006353061939376133]","[0.08816870406369717, 0.01119285609378486]"
50%,"Hellinger
 distance",Checking,-,-,0.069/0.1046,0.0216/0.0304,-,-,-,-,,0.145695885800001,0.145695885800001,0.2132060539924383,0.22566246149903796,[],"[0.10458357528816403, 0.03043676109671058]","[0.17362784164555198, 0.05203461985348597]"
50%,"Wasserstein
 distance",Checking,-,-,0.017/0.0126,0.0052/0.0039,-,-,-,-,,0.014560970837158606,0.014560970837158606,0.022854153171231417,0.038834573549854104,[],"[0.012641982927124202, 0.00394438174102142]","[0.0296511326520471, 0.009183440897807002]"
50%,"Total variation
 distance",Checking,-,-,0.1915/0.1973,0.0599/0.0584,-,-,-,-,,0.24345371948313124,0.24345371948313124,0.3712876621608239,0.7627285803163264,[],"[0.1972727388352388, 0.05839514652014651]","[0.5860211954392988, 0.1767073848770277]"
50%,"Jensen-Shannon
 divergence",Checking,-,-,0.0501/0.0608,0.0157/0.0186,-,-,-,-,,0.07187310258606812,0.07187310258606812,0.111608412222286,0.14527000681356642,[],"[0.06084480686517825, 0.018625812407257514]","[0.11091484872043567, 0.03435515809313075]"
70%,"Hellinger
 distance",Checking,-,-,0.0922/0.1274,0.0307/0.0339,-,-,-,-,,0.1674525513485389,0.1674525513485389,0.24812548405078672,0.2841931509155575,[],"[0.1274100668140627, 0.03393579859043294]","[0.21958180391179238, 0.06461134700376517]"
70%,"Wasserstein
 distance",Checking,-,-,0.0215/0.0167,0.0106/0.0083,-,-,-,-,,0.017507431735907915,0.017507431735907915,0.03001554504636355,0.057149754615803225,[],"[0.016683301814980536, 0.008332924805930732]","[0.03818076109284834, 0.018968993522954884]"
70%,"Total variation
 distance",Checking,-,-,0.2776/0.2932,0.1067/0.1002,-,-,-,-,,0.3096315849469874,0.3096315849469874,0.5063269035173059,1.1711471033839453,[],"[0.29319553132053133, 0.10019510582010581]","[0.8640261225129646, 0.30712098087098083]"
70%,"Jensen-Shannon
 divergence",Checking,-,-,0.0681/0.0782,0.0254/0.0242,-,-,-,-,,0.08307426362553037,0.08307426362553037,0.1342661033582644,0.1958198185340087,[],"[0.07821609514994027, 0.024167584315527752]","[0.14628630346797922, 0.04953351506602948]"
10%,"Hellinger
 distance",Sex,0.0209/0.0209,-,0.0307/0.0307,0.0049/0.0049,0.0436/0.0277,-,0.0182/0.0177,0.0277/0.0158,,0.019758483831873598,0.019758483831873598,0.07862227053586654,0.26372407426149297,[],"[0.020879754198511524, 0.030660754744696844, 0.0049396209579683995, 0.02770868377168006, 0.017731972669630152, 0.01580678706549888]","[0.04175950839702305, 0.06132150948939369, 0.009879241915936799, 0.07131776742297305, 0.035930576198987416, 0.04351547083717894]"
10%,"Wasserstein
 distance",Sex,0.0041/0.0041,-,0.004/0.004,0.0004/0.0004,0.0065/0.0061,-,0.0019/0.0018,0.0047/0.0032,,0.001402234866802215,0.001402234866802215,0.011273303985766755,0.04137607303717031,[],"[0.004139606816606864, 0.003963886220653093, 0.00041588931245986757, 0.00612923483645271, 0.0018494422301892383, 0.0032440788215673043]","[0.008279213633213729, 0.007927772441306186, 0.0008317786249197351, 0.012619564654149786, 0.003747553992751878, 0.00797018969082899]"
10%,"Total variation
 distance",Sex,0.0352/0.0352,-,0.053/0.053,0.0054/0.0054,0.0748/0.072,-,0.0237/0.0231,0.0494/0.0452,,0.019848581973581962,0.019848581973581962,0.13676216618453607,0.7090396496287928,[],"[0.035220109202009645, 0.05296221139971139, 0.005362554112554112, 0.07200396825396824, 0.02305610323144259, 0.04522222222222222]","[0.10566032760602893, 0.15888663419913418, 0.016087662337662338, 0.21880952380952376, 0.06977504925304995, 0.13982045242339358]"
10%,"Jensen-Shannon
 divergence",Sex,0.0113/0.0113,-,0.0179/0.0179,0.0023/0.0023,0.0252/0.0194,-,0.0092/0.009,0.0159/0.0112,,0.008494841728564365,0.008494841728564365,0.04406845835853988,0.15297731836437772,[],"[0.011304056827159098, 0.01789277652740833, 0.0023364848501145523, 0.019374411329086707, 0.009011200769160718, 0.011228302957021622]","[0.022608113654318196, 0.03578555305481666, 0.004672969700229105, 0.04457092811444476, 0.01825953840066777, 0.02708021543990123]"
