"Swap 
 Percentage",Measurement,Feature,race,sex,capital-loss,hours-per-week,age,capital-gain,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
30%,"Total variation
 distance",sex,-,-,0.0717/0.0717,0.0229/0.0229,-,0.0019/0.0019,,0.10534210620020679,0.10534210620020679,0.15360661462846778,0.28958705056956596,[],"[0.07172686115773745, 0.02294776615145894, 0.0018543895473256127]","[0.21518058347321234, 0.06884329845437683, 0.005563168641976838]"
30%,"Jensen-Shannon
 divergence",sex,-,-,0.0241/0.0241,0.0168/0.0168,-,0.0014/0.0014,,0.029081219157478178,0.029081219157478178,0.05023805592437468,0.08462734706758598,[],"[0.02409976218592123, 0.016766469376927183, 0.0014474419709445826]","[0.04819952437184246, 0.033532938753854366, 0.002894883941889165]"
50%,"Hellinger
 distance",sex,-,-,0.1547/0.1547,0.2877/0.2877,-,0.0142/0.0142,,0.8834861904813056,0.8834861904813056,1.1118149365669294,0.9133149843424951,[],"[0.1547283348310646, 0.2877207329219111, 0.014208424418271928]","[0.3094566696621292, 0.5754414658438222, 0.028416848836543857]"
50%,"Wasserstein
 distance",sex,-,-,0.01/0.01,0.0021/0.0021,-,0.0004/0.0004,,0.00791608911006807,0.00791608911006807,0.014175915059874394,0.025039303799225296,[],"[0.010041600939957119, 0.0021071962630699, 0.00037085469658563065]","[0.020083201879914237, 0.0042143925261398, 0.0007417093931712613]"
50%,"Total variation
 distance",sex,-,-,0.1325/0.1325,0.0457/0.0457,-,0.0062/0.0062,,0.15393149376623005,0.15393149376623005,0.24609858127948545,0.5530025250795324,[],"[0.13249205688455024, 0.04569030897194516, 0.006151809170015407]","[0.3974761706536507, 0.1370709269158355, 0.018455427510046224]"
50%,"Jensen-Shannon
 divergence",sex,-,-,0.0373/0.0373,0.0262/0.0262,-,0.0033/0.0033,,0.036735980110028404,0.036735980110028404,0.07013333374844985,0.1335894145536858,[],"[0.03727089179577586, 0.02617919310342619, 0.003344622377640857]","[0.07454178359155172, 0.05235838620685238, 0.006689244755281714]"
70%,"Hellinger
 distance",sex,-,-,0.1785/0.1785,0.3362/0.3362,-,0.0452/0.0452,,1.0450428826743619,1.0450428826743619,1.3249946718656773,1.1198071567652619,[],"[0.17852866201986345, 0.3362155752381361, 0.04515934112463133]","[0.3570573240397269, 0.6724311504762722, 0.09031868224926266]"
70%,"Wasserstein
 distance",sex,-,-,0.0165/0.0165,0.004/0.004,-,0.0007/0.0007,,0.01122990942366153,0.01122990942366153,0.0218216505971782,0.042366964694066686,[],"[0.01650607700864642, 0.0040024586181828725, 0.0006749467202040475]","[0.03301215401729284, 0.008004917236365745, 0.001349893440408095]"
70%,"Total variation
 distance",sex,-,-,0.1946/0.1946,0.0787/0.0787,-,0.0124/0.0124,,0.19108957008501415,0.19108957008501415,0.33391993869604314,0.8569822116661739,[],"[0.1945725121382668, 0.07867851628538629, 0.01240970879840489]","[0.5837175364148004, 0.23603554885615885, 0.03722912639521467]"
70%,"Jensen-Shannon
 divergence",sex,-,-,0.0476/0.0476,0.0363/0.0363,-,0.0073/0.0073,,0.042558632693211126,0.042558632693211126,0.08818721891473356,0.18251434488608975,[],"[0.04760809973091349, 0.03631783578519518, 0.007331236926936213]","[0.09521619946182698, 0.07263567157039036, 0.014662473853872426]"
10%,"Hellinger
 distance",capital-loss,-,-,-,0.1274/0.1274,-,-,,0.19759390770163024,0.19759390770163024,0.19759390770163024,0,[],[],[]
10%,"Wasserstein
 distance",capital-loss,-,-,-,0.0039/0.0039,-,-,,0.003923301315680549,0.003923301315680549,0.003923301315680549,0,[],[],[]
10%,"Total variation
 distance",capital-loss,-,-,-,0.0664/0.0664,-,-,,0.06318767603230505,0.06318767603230505,0.06318767603230505,0,[],[],[]
10%,"Jensen-Shannon
 divergence",capital-loss,-,-,-,0.025/0.025,-,-,,0.026848213595322412,0.026848213595322412,0.026848213595322412,0,[],[],[]
30%,"Hellinger
 distance",capital-loss,-,-,-,0.2317/0.2317,-,-,,0.33732326639249555,0.33732326639249555,0.33732326639249555,0,[],[],[]
30%,"Wasserstein
 distance",capital-loss,-,-,-,0.0102/0.0102,-,-,,0.009416689684875305,0.009416689684875305,0.009416689684875305,0,[],[],[]
30%,"Total variation
 distance",capital-loss,-,-,-,0.1489/0.1489,-,-,,0.13290421806665786,0.13290421806665786,0.13290421806665786,0,[],[],[]
30%,"Jensen-Shannon
 divergence",capital-loss,-,-,-,0.043/0.043,-,-,,0.042435390889916484,0.042435390889916484,0.042435390889916484,0,[],[],[]
50%,"Hellinger
 distance",capital-loss,-,-,-,0.3029/0.3029,-,-,,0.44071743375504757,0.44071743375504757,0.44071743375504757,0,[],[],[]
50%,"Wasserstein
 distance",capital-loss,-,-,-,0.0184/0.0184,-,-,,0.018541228331125738,0.018541228331125738,0.018541228331125738,0,[],[],[]
50%,"Total variation
 distance",capital-loss,-,-,-,0.2234/0.2234,-,-,,0.21515368220558112,0.21515368220558112,0.21515368220558112,0,[],[],[]
50%,"Jensen-Shannon
 divergence",capital-loss,-,-,-,0.0551/0.0551,-,-,,0.05509607298192709,0.05509607298192709,0.05509607298192709,0,[],[],[]
70%,"Hellinger
 distance",capital-loss,-,-,-,0.3498/0.3498,-,-,,0.5189788284936976,0.5189788284936976,0.5189788284936976,0,[],[],[]
70%,"Wasserstein
 distance",capital-loss,-,-,-,0.0252/0.0252,-,-,,0.026755120298599284,0.026755120298599284,0.026755120298599284,0,[],[],[]
70%,"Total variation
 distance",capital-loss,-,-,-,0.2853/0.2853,-,-,,0.2880098852734859,0.2880098852734859,0.2880098852734859,0,[],[],[]
70%,"Jensen-Shannon
 divergence",capital-loss,-,-,-,0.066/0.066,-,-,,0.06651751437577867,0.06651751437577867,0.06651751437577867,0,[],[],[]
10%,"Hellinger
 distance",hours-per-week,-,-,-,-,-,-,,0.3696451202494781,0.3696451202494781,0.3696451202494781,0,[],[],[]
10%,"Wasserstein
 distance",hours-per-week,-,-,-,-,-,-,,0.00124610995205903,0.00124610995205903,0.00124610995205903,0,[],[],[]
10%,"Total variation
 distance",hours-per-week,-,-,-,-,-,-,,0.021617201672911736,0.021617201672911736,0.021617201672911736,0,[],[],[]
10%,"Jensen-Shannon
 divergence",hours-per-week,-,-,-,-,-,-,,0.017961314935146765,0.017961314935146765,0.017961314935146765,0,[],[],[]
30%,"Hellinger
 distance",hours-per-week,-,-,-,-,-,-,,0.6528661211007504,0.6528661211007504,0.6528661211007504,0,[],[],[]
30%,"Wasserstein
 distance",hours-per-week,-,-,-,-,-,-,,0.003842452567326615,0.003842452567326615,0.003842452567326615,0,[],[],[]
30%,"Total variation
 distance",hours-per-week,-,-,-,-,-,-,,0.0682052182429454,0.0682052182429454,0.0682052182429454,0,[],[],[]
30%,"Jensen-Shannon
 divergence",hours-per-week,-,-,-,-,-,-,,0.03289830996705114,0.03289830996705114,0.03289830996705114,0,[],[],[]
50%,"Hellinger
 distance",hours-per-week,-,-,-,-,-,-,,0.8349115044798376,0.8349115044798376,0.8349115044798376,0,[],[],[]
50%,"Wasserstein
 distance",hours-per-week,-,-,-,-,-,-,,0.007072927089941415,0.007072927089941415,0.007072927089941415,0,[],[],[]
50%,"Total variation
 distance",hours-per-week,-,-,-,-,-,-,,0.1192264855407387,0.1192264855407387,0.1192264855407387,0,[],[],[]
50%,"Jensen-Shannon
 divergence",hours-per-week,-,-,-,-,-,-,,0.04423023332436432,0.04423023332436432,0.04423023332436432,0,[],[],[]
70%,"Hellinger
 distance",hours-per-week,-,-,-,-,-,-,,0.987939159985596,0.987939159985596,0.987939159985596,0,[],[],[]
70%,"Wasserstein
 distance",hours-per-week,-,-,-,-,-,-,,0.01138825187333389,0.01138825187333389,0.01138825187333389,0,[],[],[]
70%,"Total variation
 distance",hours-per-week,-,-,-,-,-,-,,0.17696304036808957,0.17696304036808957,0.17696304036808957,0,[],[],[]
70%,"Jensen-Shannon
 divergence",hours-per-week,-,-,-,-,-,-,,0.05518785449911852,0.05518785449911852,0.05518785449911852,0,[],[],[]
10%,"Hellinger
 distance",age,0.149/0.2624,0.1665/0.2728,0.1304/0.1304,0.2286/0.2286,-,0.1052/0.1052,,0.4532135125772857,0.4532135125772857,0.6853343935697271,0.9284835239697657,[],"[0.1304224664204316, 0.2286023077759388, 0.10521698778851249]","[0.2608449328408632, 0.4572046155518776, 0.21043397557702498]"
10%,"Wasserstein
 distance",age,0.0012/0.0004,0.0016/0.0006,0.004/0.004,0.0012/0.0012,-,0.0021/0.0021,,0.000913307339334545,0.000913307339334545,0.004523207121666562,0.014439599129328066,[],"[0.0039853826624935175, 0.0011776356517828848, 0.0020567812503876313]","[0.007970765324987035, 0.0023552713035657697, 0.004113562500775263]"
10%,"Total variation
 distance",age,0.027/0.0122,0.0348/0.0143,0.058/0.058,0.0204/0.0204,-,0.0405/0.0405,,0.028267778602927746,0.028267778602927746,0.08771645206645844,0.3566920407811841,[],"[0.05797935546330514, 0.020380617145488313, 0.04053737431826791]","[0.17393806638991544, 0.06114185143646494, 0.12161212295480374]"
10%,"Jensen-Shannon
 divergence",age,0.0169/0.0132,0.0179/0.0129,0.0239/0.0239,0.0184/0.0184,-,0.0172/0.0172,,0.021319806612181656,0.021319806612181656,0.05111353860209919,0.11917492795967013,[],"[0.023933290987800428, 0.01842959454449054, 0.0172245784475441]","[0.047866581975600855, 0.03685918908898108, 0.0344491568950882]"
30%,"Hellinger
 distance",age,0.2628/0.4307,0.2881/0.4744,0.2333/0.2333,0.3757/0.3757,-,0.1996/0.1996,,0.7600777532584093,0.7600777532584093,1.1643715387122218,1.6171751418152498,[],"[0.23327785426265207, 0.3757078638071057, 0.1996018528378672]","[0.46655570852530415, 0.7514157276142114, 0.3992037056757344]"
30%,"Wasserstein
 distance",age,0.003/0.0012,0.0043/0.0018,0.0121/0.0121,0.0032/0.0032,-,0.0076/0.0076,,0.0028440211790836103,0.0028440211790836103,0.014326983247504834,0.0459318482736849,[],"[0.012138459339959029, 0.0031891628019244276, 0.007638301994958993]","[0.024276918679918057, 0.006378325603848855, 0.015276603989917986]"
30%,"Total variation
 distance",age,0.0721/0.0366,0.0915/0.0459,0.1529/0.1529,0.0555/0.0555,-,0.111/0.111,,0.08080569291695125,0.08080569291695125,0.24051758971838408,0.9582713808085969,[],"[0.15286141114492602, 0.05552210133222861, 0.11104028112571099]","[0.45858423343477805, 0.16656630399668582, 0.333120843377133]"
30%,"Jensen-Shannon
 divergence",age,0.0316/0.0239,0.0322/0.0246,0.0436/0.0436,0.0312/0.0312,-,0.0328/0.0328,,0.03573498252023673,0.03573498252023673,0.08957059291704145,0.21534244158721885,[],"[0.04364804381387198, 0.031248744978390412, 0.03277443200134704]","[0.08729608762774396, 0.062497489956780825, 0.06554886400269408]"
50%,"Hellinger
 distance",age,0.3423/0.5664,0.3799/0.6216,0.2989/0.2989,0.5002/0.5002,-,0.2813/0.2813,,0.9767020312772081,0.9767020312772081,1.5169372987063383,2.1609410697165203,[],"[0.2989341188173338, 0.500190227799246, 0.2813461882416803]","[0.5978682376346676, 1.000380455598492, 0.5626923764833606]"
50%,"Wasserstein
 distance",age,0.0046/0.0021,0.0077/0.0036,0.0198/0.0198,0.0056/0.0056,-,0.0146/0.0146,,0.00455244146169554,0.00455244146169554,0.0245273176889325,0.07989950490894784,[],"[0.019824340926845554, 0.005552002151338152, 0.01457340937629022]","[0.03964868185369111, 0.011104004302676305, 0.02914681875258044]"
50%,"Total variation
 distance",age,0.1213/0.0712,0.1571/0.0875,0.225/0.225,0.1025/0.1025,-,0.1728/0.1728,,0.13094635275507416,0.13094635275507416,0.38110793036979995,1.500969465688355,[],"[0.22501049397778203, 0.10252660852032058, 0.172786052731349]","[0.6750314819333461, 0.30757982556096175, 0.5183581581940471]"
50%,"Jensen-Shannon
 divergence",age,0.0434/0.0353,0.0435/0.0357,0.0558/0.0558,0.0451/0.0451,-,0.0454/0.0454,,0.046483701681293274,0.046483701681293274,0.11964602351407823,0.2926492873311398,[],"[0.05584039445946324, 0.045129612647121245, 0.04535463655898543]","[0.11168078891892648, 0.09025922529424249, 0.09070927311797086]"
70%,"Hellinger
 distance",age,0.4154/0.6632,0.4634/0.7428,0.3548/0.3548,0.5951/0.5951,-,0.3191/0.3191,,1.146501295949803,1.146501295949803,1.7810125653380533,2.538045077553001,[],"[0.35478512019483305, 0.5950926164427556, 0.3191448021389118]","[0.7095702403896662, 1.1901852328855111, 0.6382896042778236]"
70%,"Wasserstein
 distance",age,0.0069/0.004,0.012/0.0067,0.0298/0.0298,0.0101/0.0101,-,0.0241/0.0241,,0.0064154625307624195,0.0064154625307624195,0.03842338341592227,0.1280316835406394,[],"[0.02979166853725273, 0.01012306188484617, 0.024101111348220797]","[0.05958333707450546, 0.02024612376969234, 0.048202222696441595]"
70%,"Total variation
 distance",age,0.1791/0.1148,0.2168/0.1466,0.2979/0.2979,0.1705/0.1705,-,0.2455/0.2455,,0.18090017280203427,0.18090017280203427,0.5378647296118638,2.1417873408589774,[],"[0.2979211482019411, 0.17048237757163937, 0.2455255878460787]","[0.8937634446058234, 0.5114471327149182, 0.7365767635382361]"
70%,"Jensen-Shannon
 divergence",age,0.0552/0.0469,0.054/0.0489,0.0646/0.0646,0.0597/0.0597,-,0.0554/0.0554,,0.055528253394192685,0.055528253394192685,0.14533900733422578,0.3592430157601324,[],"[0.06456201649959363, 0.05965100039412626, 0.055408490986346315]","[0.12912403299918726, 0.11930200078825252, 0.11081698197269263]"
10%,"Hellinger
 distance",capital-gain,-,-,0.0/0.0,0.0339/0.0339,-,-,,0.1753091286118621,0.1753091286118621,0.1753091286118621,0.0,[],[0.0],[0.0]
10%,"Wasserstein
 distance",capital-gain,-,-,0.0/0.0,0.0003/0.0003,-,-,,0.002022089950950429,0.002022089950950429,0.002022089950950429,0.0,[],[0.0],[0.0]
10%,"Total variation
 distance",capital-gain,-,-,0.0/0.0,0.01/0.01,-,-,,0.038565412572801286,0.038565412572801286,0.038565412572801286,0.0,[],[0.0],[0.0]
10%,"Jensen-Shannon
 divergence",capital-gain,-,-,0.0/0.0,0.0059/0.0059,-,-,,0.018879687528389654,0.018879687528389654,0.018879687528389654,0.0,[],[0.0],[0.0]
30%,"Hellinger
 distance",capital-gain,-,-,0.0033/0.0,0.0839/0.0839,-,-,,0.3064662338828731,0.3064662338828731,0.3064662338828731,0.0032930806386456,[],[0.0],[0.0032930806386456]
30%,"Wasserstein
 distance",capital-gain,-,-,0.0/0.0,0.0015/0.0015,-,-,,0.00733184307687023,0.00733184307687023,0.00733184307687023,4.890079622501e-05,[],[0.0],[4.890079622501e-05]
30%,"Total variation
 distance",capital-gain,-,-,0.0007/0.0,0.0356/0.0356,-,-,,0.10699888790754244,0.10699888790754244,0.10699888790754244,0.00073572823470639,[],[0.0],[0.00073572823470639]
30%,"Jensen-Shannon
 divergence",capital-gain,-,-,0.0007/0.0,0.0145/0.0145,-,-,,0.03381923957098053,0.03381923957098053,0.03381923957098053,0.00067285985095534,[],[0.0],[0.00067285985095534]
50%,"Hellinger
 distance",capital-gain,-,-,0.0099/0.0,0.1249/0.1249,-,-,,0.3924075686689269,0.3924075686689269,0.3924075686689269,0.0098792419159368,[],[0.0],[0.0098792419159368]
50%,"Wasserstein
 distance",capital-gain,-,-,0.0002/0.0,0.0033/0.0033,-,-,,0.014500796152872189,0.014500796152872189,0.014500796152872189,0.0002453897771857067,[],[0.0],[0.0002453897771857067]
50%,"Total variation
 distance",capital-gain,-,-,0.0041/0.0,0.0681/0.0681,-,-,,0.17281863288183022,0.17281863288183022,0.17281863288183022,0.0041093683152668104,[],[0.0],[0.0041093683152668104]
50%,"Jensen-Shannon
 divergence",capital-gain,-,-,0.0026/0.0,0.0239/0.0239,-,-,,0.04515854509762164,0.04515854509762164,0.04515854509762164,0.00260767703050048,[],[0.0],[0.00260767703050048]
70%,"Hellinger
 distance",capital-gain,-,-,0.0033/0.0,0.1372/0.1372,-,-,,0.44705385292741096,0.44705385292741096,0.44705385292741096,0.0032930806386456,[],[0.0],[0.0032930806386456]
70%,"Wasserstein
 distance",capital-gain,-,-,0.0001/0.0,0.0056/0.0056,-,-,,0.02284678356630048,0.02284678356630048,0.02284678356630048,0.00013080962990190666,[],[0.0],[0.00013080962990190666]
70%,"Total variation
 distance",capital-gain,-,-,0.0017/0.0,0.0908/0.0908,-,-,,0.2385455566581718,0.2385455566581718,0.2385455566581718,0.0016772631973681932,[],[0.0],[0.0016772631973681932]
70%,"Jensen-Shannon
 divergence",capital-gain,-,-,0.0011/0.0,0.0318/0.0318,-,-,,0.05448845167065519,0.05448845167065519,0.05448845167065519,0.0010871374928635067,[],[0.0],[0.0010871374928635067]
