"Swap 
 Percentage",Measurement,Feature,priors_count,race,sex,age,c_charge_degree,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Wasserstein
 distance",c_charge_degree,0.0014/0.0009,-,-,-,-,,0.00162290207001363,0.00162290207001363,0.00205270258183652,0.00228905119271312,[],[0.0008596010236457801],[0.00228905119271312]
10%,"Total variation
 distance",c_charge_degree,0.0218/0.0189,-,-,-,-,,0.026976185246618063,0.026976185246618063,0.03642499052583736,0.059547941057496515,[],[0.018897610558438593],[0.059547941057496515]
10%,"Jensen-Shannon
 divergence",c_charge_degree,0.0148/0.0163,-,-,-,-,,0.01758202364378466,0.01758202364378466,0.02571519323843675,0.031095181610158455,[],[0.01626633918930418],[0.031095181610158455]
30%,"Hellinger
 distance",c_charge_degree,0.2471/0.2474,-,-,-,-,,0.283805311738247,0.283805311738247,0.40750160626671617,0.49444779991234267,[],[0.24739258905693834],[0.49444779991234267]
30%,"Wasserstein
 distance",c_charge_degree,0.0038/0.0013,-,-,-,-,,0.0044897084559105405,0.0044897084559105405,0.0051424506086092505,0.005131512164099965,[],[0.00130548430539742],[0.005131512164099965]
30%,"Total variation
 distance",c_charge_degree,0.0582/0.0481,-,-,-,-,,0.07427691300121157,0.07427691300121157,0.09832636191776481,0.15436429678886499,[],[0.04809889783310646],[0.15436429678886499]
30%,"Jensen-Shannon
 divergence",c_charge_degree,0.0259/0.0271,-,-,-,-,,0.03058655724571809,0.03058655724571809,0.044155531236018036,0.05299312195206969,[],[0.027137947980599892],[0.05299312195206969]
50%,"Hellinger
 distance",c_charge_degree,0.3192/0.3183,-,-,-,-,,0.3637623979506387,0.3637623979506387,0.5229169776083529,0.6374772420724133,[],[0.3183091593154283],[0.6374772420724133]
50%,"Wasserstein
 distance",c_charge_degree,0.0059/0.0018,-,-,-,-,,0.0072068501128531555,0.0072068501128531555,0.008117976403484276,0.007770051484448134,[],[0.00182225258126224],[0.007770051484448134]
50%,"Total variation
 distance",c_charge_degree,0.0887/0.0788,-,-,-,-,,0.11328053597678471,0.11328053597678471,0.1526794933772791,0.24627520341543335,[],[0.07879791480098879],[0.24627520341543335]
50%,"Jensen-Shannon
 divergence",c_charge_degree,0.0333/0.0349,-,-,-,-,,0.03883811798211648,0.03883811798211648,0.05626480365998456,0.06818497700296117,[],[0.03485337135573617],[0.06818497700296117]
70%,"Hellinger
 distance",c_charge_degree,0.3749/0.3808,-,-,-,-,,0.4329184015062892,0.4329184015062892,0.6233032651193127,0.7557182421959683,[],[0.38076972722604685],[0.7557182421959683]
70%,"Wasserstein
 distance",c_charge_degree,0.009/0.0024,-,-,-,-,,0.009706620262019025,0.009706620262019025,0.010907136127183208,0.01144866505493173,[],[0.002401031730328365],[0.01144866505493173]
70%,"Total variation
 distance",c_charge_degree,0.1168/0.11,-,-,-,-,,0.14629910571107824,0.14629910571107824,0.20129479856395333,0.33682612532088685,[],[0.10999138570575015],[0.33682612532088685]
70%,"Jensen-Shannon
 divergence",c_charge_degree,0.0385/0.0416,-,-,-,-,,0.0459117889611163,0.0459117889611163,0.06669941535269693,0.08004900465895044,[],[0.04157525278316125],[0.08004900465895044]
