Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
age,70%,"Hellinger
 distance(+)",0.6519942415467517,0,0.9551445563434768,1.6071387978902285,0.5357129326300761
age,70%,"Wasserstein
 distance(+)",0.025559655279931766,0,0.9551445563434768,0.025559655279931766,0.010620660548861821
age,70%,"Contingency
 coefficient(-)",0.30234908063869437,0,0.9985665432847707,0.30234908063869437,0.4336385413078217
age,70%,"Total variation
 distance(+)",0.28328864677492127,0,0.27834930213193637,0.28328864677492127,0.18721264963561923
age,70%,"Jensen–Shannon
 divergence(+)",0.06826043953386263,0,0.10364313506123451,0.06826043953386263,0.05730119153169905
c_charge_degree,10%,"Hellinger
 distance(+)",0.1624664210699853,0,0.14885377681302647,0.3113201978830118,0.10377339929433727
c_charge_degree,10%,"Wasserstein
 distance(+)",0.00162290207001363,0,0.14885377681302647,0.00162290207001363,0.0008275010312198033
c_charge_degree,10%,"Contingency
 coefficient(-)",0.6749176115789532,0,0.6834618391878859,0.6749176115789532,0.45279315025561306
c_charge_degree,10%,"Total variation
 distance(+)",0.026976185246618063,0,0.018897610558438593,0.026976185246618063,0.015291265268352219
c_charge_degree,10%,"Jensen–Shannon
 divergence(+)",0.01758202364378466,0,0.01626633918930418,0.01758202364378466,0.011282787611029613
c_charge_degree,30%,"Hellinger
 distance(+)",0.283805311738247,0,0.24739258905693834,0.5311979007951854,0.17706596693172846
c_charge_degree,30%,"Wasserstein
 distance(+)",0.0044897084559105405,0,0.24739258905693834,0.0044897084559105405,0.0019317309204359868
c_charge_degree,30%,"Contingency
 coefficient(-)",0.6056298849442615,0,0.6327111982628465,0.6056298849442615,0.412780361069036
c_charge_degree,30%,"Total variation
 distance(+)",0.07427691300121157,0,0.04809889783310646,0.07427691300121157,0.04079193694477268
c_charge_degree,30%,"Jensen–Shannon
 divergence(+)",0.03058655724571809,0,0.027137947980599892,0.03058655724571809,0.019241501742105992
c_charge_degree,50%,"Hellinger
 distance(+)",0.3637623979506387,0,0.3183091593154283,0.6820715572660669,0.22735718575535566
c_charge_degree,50%,"Wasserstein
 distance(+)",0.0072068501128531555,0,0.3183091593154283,0.0072068501128531555,0.0030097008980384653
c_charge_degree,50%,"Contingency
 coefficient(-)",0.5186176509366366,0,0.5680728049183085,0.5186176509366366,0.36223015195164837
c_charge_degree,50%,"Total variation
 distance(+)",0.11328053597678471,0,0.07879791480098879,0.11328053597678471,0.06402615025925783
c_charge_degree,50%,"Jensen–Shannon
 divergence(+)",0.03883811798211648,0,0.03485337135573617,0.03883811798211648,0.024563829779284216
c_charge_degree,70%,"Hellinger
 distance(+)",0.4329184015062892,0,0.38076972722604685,0.8136881287323361,0.27122937624411203
c_charge_degree,70%,"Wasserstein
 distance(+)",0.009706620262019025,0,0.38076972722604685,0.009706620262019025,0.00403588399744913
c_charge_degree,70%,"Contingency
 coefficient(-)",0.41373305996718546,0,0.49015677969449,0.41373305996718546,0.3012966132205585
c_charge_degree,70%,"Total variation
 distance(+)",0.14629910571107824,0,0.10999138570575015,0.14629910571107824,0.08543016380560946
c_charge_degree,70%,"Jensen–Shannon
 divergence(+)",0.0459117889611163,0,0.04157525278316125,0.0459117889611163,0.029162347248092513
