Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
ca,50%,"Contingency
 coefficient(-)",9.8148,7.256687916666666,17.071487916666666,71.22294056449999,10.856634722222221
ca,50%,"Impact
 distance(+)",0.6,0.5954166666666667,1.1954166666666666,0.35725,0.5486111111111112
ca,50%,"Impact 
 Distance Contrained(+)",0.09814763610323272,0.0725665992501053,0.17071423535333802,0.007122240176448455,0.1085661094977944
ca,70%,"Contingency
 coefficient(-)",14.246399999999998,10.735372173913042,24.98177217391304,152.94040613843475,16.834911428571427
ca,70%,"Impact
 distance(+)",0.6,0.558695652173913,1.158695652173913,0.3352173913043478,0.6157142857142858
ca,70%,"Impact 
 Distance Contrained(+)",0.14246089827485175,0.10735369996760141,0.24981459824245317,0.015293704530513421,0.1683490203986083
chol,10%,"Contingency
 coefficient(-)",0.4314,0.05407166666666674,0.48547166666666675,0.023326517000000033,1.7903833333333334
chol,10%,"Impact
 distance(+)",0.2,0.035,0.23500000000000001,0.007000000000000001,0.23888888888888887
chol,10%,"Impact 
 Distance Contrained(+)",0.004312169312169302,0.0005404563348936735,0.004852625647062975,2.330539221895994e-06,0.01790381648314897
chol,30%,"Contingency
 coefficient(-)",1.0636,0.7975433333333344,1.8611433333333345,0.8482670893333345,4.332911111111112
chol,30%,"Impact
 distance(+)",0.0,0.018333333333333257,0.018333333333333257,0.0,0.45000000000000007
chol,30%,"Impact 
 Distance Contrained(+)",0.010634920634920636,0.007975051417982625,0.01860997205290326,8.481403888965649e-05,0.043329099807086865
chol,50%,"Contingency
 coefficient(-)",4.6944,4.708088333333332,9.40248833333333,22.101649871999992,7.537055555555556
chol,50%,"Impact
 distance(+)",0.6,0.23291666666666666,0.8329166666666666,0.13974999999999999,0.6013888888888889
chol,50%,"Impact 
 Distance Contrained(+)",0.04694265084508984,0.04708082078526024,0.09402347163035008,0.00221009853162272,0.07537029229619804
chol,70%,"Contingency
 coefficient(-)",4.801999999999999,4.875133333333332,9.67713333333333,23.410390266666656,10.994100000000001
chol,70%,"Impact
 distance(+)",0.6,0.24291666666666667,0.8429166666666666,0.14575,0.651388888888889
chol,70%,"Impact 
 Distance Contrained(+)",0.0480222993380888,0.048751421980156764,0.09677372131824556,0.00234115537948857,0.1099410411482004
cp,10%,"Contingency
 coefficient(-)",3.7285999999999992,1.584635,5.313234999999999,5.908470060999999,3.041333333333333
cp,10%,"Impact
 distance(+)",0.4,0.31166666666666665,0.7116666666666667,0.12466666666666666,0.3166666666666667
cp,10%,"Impact 
 Distance Contrained(+)",0.03728494623655915,0.026262847531539596,0.06354779376809874,0.0009792088582324038,0.023468841585732814
cp,30%,"Contingency
 coefficient(-)",4.4774,4.068392500000002,8.545792500000001,18.215820579500008,10.286302777777777
cp,30%,"Impact
 distance(+)",0.0,0.15625,0.15625,0.0,0.7069444444444446
cp,30%,"Impact 
 Distance Contrained(+)",0.04477107132557634,0.05110019552753313,0.09587126685310947,0.002287810498714083,0.09591831313196102
cp,50%,"Contingency
 coefficient(-)",0.6091999999999995,2.423348749999999,3.0325487499999983,1.476304058499998,17.09862638888889
cp,50%,"Impact
 distance(+)",0.0,0.08958333333333324,0.08958333333333324,0.0,0.8458333333333333
cp,50%,"Impact 
 Distance Contrained(+)",0.006095772198386196,0.03465024617641263,0.040746018374798826,0.00021122000730941368,0.16404198407182546
cp,70%,"Contingency
 coefficient(-)",3.4860000000000007,8.51585125,12.001851250000001,29.68625745750001,23.070595833333332
cp,70%,"Impact
 distance(+)",0.0,0.10458333333333347,0.10458333333333347,0.0,0.8736111111111111
cp,70%,"Impact 
 Distance Contrained(+)",0.0348575651370423,0.07557542037270296,0.11043298550974526,0.002634375138400847,0.21820613031772107
exang,10%,"Contingency
 coefficient(-)",0.0,1.0096708333333333,1.0096708333333333,0.0,0.9951815789473684
exang,10%,"Impact
 distance(+)",0.0,0.23958333333333337,0.23958333333333337,0.0,0.13289473684210526
