"Swap 
 Percentage",Measurement,Feature,age,freetime,activities,romantic,famrel,goout,guardian,health,higher,internet,Pstatus,nursery,absences,Walc,Medu,Fjob,traveltime,famsup,studytime,sex,reason,schoolsup,paid,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,"Total variation
 distance",age,-,0.1062/0.0626,0.1436/0.0462,0.1338/0.0438,0.125/0.0705,0.1305/0.0637,0.1263/0.0139,0.122/0.1369,0.0934/0.3181,0.111/0.0534,0.0855/0.0788,0.1069/0.0399,0.0934/0.1722,0.0864/0.1469,0.1602/0.1845,0.1252/0.0525,0.1068/0.0374,0.1264/0.0834,0.1259/0.0968,-,0.1107/0.0854,0.1386/0.1022,0.1424/0.0412,,0.11497560440755936,0.11497560440755936,1.0801966203338358,6.36131638901902,[],"[0.06263084403634271, 0.04622091358325885, 0.04378631671721786, 0.07045556397568756, 0.06370069998351419, 0.013934966278081004, 0.1369365036910816, 0.31810612993513415, 0.05339761870415627, 0.0787580080730305, 0.03991664613626377, 0.17222609651608112, 0.14688554364978632, 0.1845462402612123, 0.05249414329524092, 0.03744222156440738, 0.08340234418829796, 0.09682845942694053, 0.08541783519021866, 0.10218599389144041, 0.04116894275515866]","[0.23144518299599626, 0.2360748268975629, 0.2213837487828853, 0.26593155629209947, 0.2578932186529823, 0.1541952198640387, 0.39588602809504225, 0.7296423398547129, 0.2177968310806939, 0.24296621170987232, 0.18675542042342735, 0.43783079242477857, 0.38021185840945393, 0.5293187244428489, 0.230235674972244, 0.1817169154879121, 0.2932100612201028, 0.31956824560710756, 0.2815638115528923, 0.34295571675875214, 0.22473400349361433]"
50%,"Jensen-Shannon
 divergence",age,-,0.0384/0.0307,0.0481/0.0221,0.0467/0.0183,0.0451/0.0334,0.0454/0.0306,0.0451/0.0114,0.0472/0.052,0.0276/0.074,0.0396/0.0232,0.0345/0.0336,0.0383/0.0249,0.0357/0.0582,0.033/0.0527,0.052/0.0644,0.0449/0.028,0.0383/0.023,0.0442/0.034,0.045/0.0403,-,0.0405/0.038,0.0451/0.0375,0.0468/0.0203,,0.042098690209756574,0.042098690209756574,0.4174296109073094,1.631831385618063,[],"[0.030742523371345754, 0.02211402331262083, 0.01826645530491436, 0.03335502635834894, 0.030567381587237638, 0.011375993494198263, 0.052049940029941906, 0.073986860699653, 0.023223500115644214, 0.03364099034782399, 0.024940088972985858, 0.0582449986817861, 0.052652760238329814, 0.06442570191924876, 0.02802663034223214, 0.022994330535810327, 0.033974060758108104, 0.04026007471368318, 0.03797972077189051, 0.037530476780033684, 0.020310303059268356]","[0.06910486605940536, 0.07024614953682536, 0.06498409131809146, 0.0784116403154779, 0.07597059440097488, 0.0565156266468204, 0.09921220852863544, 0.1015885884323167, 0.06284365701595054, 0.06810411162339566, 0.06320872093900752, 0.09390379563143322, 0.08561777949920507, 0.11637764190067401, 0.07289073854368096, 0.06128566401495345, 0.07819539401594233, 0.08522920020524404, 0.07844850871113834, 0.08262682687556203, 0.06706558140332826]"
70%,"Hellinger
 distance",age,-,0.1708/0.1465,0.178/0.0883,0.1563/0.0864,0.1604/0.1714,0.1674/0.146,0.1699/0.0706,0.1771/0.2295,0.1325/0.3169,0.1782/0.0841,0.1511/0.1595,0.1668/0.1212,0.1893/0.2562,0.1432/0.2071,0.1571/0.2776,0.1745/0.1517,0.1679/0.128,0.1924/0.1423,0.1629/0.2108,-,0.1779/0.1633,0.1714/0.1391,0.1823/0.101,,0.1766411156210258,0.1766411156210258,1.875481133356506,6.924860529645642,[],"[0.14654944337678535, 0.08832079301779537, 0.08644322655492342, 0.171390550365664, 0.14598832203003884, 0.07063687857080718, 0.22948984775668185, 0.3168983234453693, 0.0841357909865301, 0.15949826474946086, 0.12117158615173708, 0.2561951057745059, 0.20712138040681477, 0.27760107107893817, 0.15173486080515344, 0.12796554029848642, 0.14229509499274678, 0.2108413423303487, 0.16334716883320088, 0.13907682143926783, 0.10097862250570379]","[0.3173152192154024, 0.2662772242715124, 0.2427012304350962, 0.3317456325968732, 0.31338762034709994, 0.24049339124750668, 0.4065802643586461, 0.44943749689402995, 0.2623234149659615, 0.31055256150573474, 0.28793348305756145, 0.44546404079569374, 0.3503279424402611, 0.4347486853507997, 0.32621864747037405, 0.2958230921880532, 0.334706803657256, 0.37369294545516896, 0.341294272927938, 0.3105157734531936, 0.2833207870114799]"
70%,"Wasserstein
 distance",age,-,0.0061/0.0059,0.0077/0.0015,0.0053/0.0017,0.0078/0.0052,0.0043/0.0035,0.0041/0.0011,0.0063/0.0109,0.0136/0.0306,0.01/0.0048,0.0079/0.0045,0.0112/0.0019,0.0106/0.0102,0.0051/0.009,0.0081/0.007,0.0077/0.0025,0.009/0.0043,0.0091/0.0036,0.0103/0.0083,-,0.0118/0.0135,0.0077/0.0055,0.0096/0.0025,,0.009562638396312531,0.009562638396312531,0.07851420403687429,0.31118281633662714,[],"[0.00590146375167559, 0.0015016311587711896, 0.0017273893569124, 0.005212660814345847, 0.0034630420774315637, 0.0010739230991218475, 0.010931893861595947, 0.030583132690108084, 0.004801150416159769, 0.004480080902747153, 0.0018741438414524, 0.010233413046608143, 0.009017045149587921, 0.0069984025267828265, 0.002456336688996179, 0.004271441582330621, 0.0035696111364790424, 0.008316740046082216, 0.013520307783950547, 0.005514303474898937, 0.0024550178750852737]","[0.012046523622620733, 0.009158356665641826, 0.00701127254625009, 0.013002201741138957, 0.007801994257870433, 0.005187727643495399, 0.017257168928401498, 0.044175440882903816, 0.014784247444490573, 0.012368235083906023, 0.013048119448970389, 0.020869728817367983, 0.014104020163664594, 0.015112346536559258, 0.01015522832102071, 0.013253911273120485, 0.012659034018922542, 0.018593593489412426, 0.025342863876278383, 0.013213623558445242, 0.01203717801614579]"
70%,"Total variation
 distance",age,-,0.1605/0.0989,0.169/0.033,0.1022/0.0332,0.1149/0.1287,0.1425/0.0839,0.1322/0.0214,0.1248/0.1935,0.1642/0.3966,0.1567/0.0567,0.108/0.0961,0.1758/0.0496,0.166/0.2016,0.0827/0.1612,0.1208/0.2345,0.1546/0.0921,0.1621/0.0757,0.1871/0.0735,0.1455/0.1764,-,0.1807/0.1606,0.1849/0.0914,0.1758/0.044,,0.14837096462664787,0.14837096462664787,1.3997546509724095,8.116307124010204,[],"[0.09893488459002929, 0.0330173490401263, 0.033201178997145205, 0.12873125509281477, 0.08394959053877038, 0.021363547709425838, 0.19354352962502497, 0.3966015779967596, 0.05672635397128087, 0.09607310404525764, 0.04959233129359025, 0.2015617857364345, 0.1612453736683179, 0.23452709349727333, 0.0920846051247876, 0.07574249847302729, 0.07352809249103898, 0.17640161748356875, 0.16055812997008112, 0.09140401235613055, 0.043979460990638264]","[0.3583935346461102, 0.23500322102653864, 0.1685741935601815, 0.3723406712633631, 0.31044315669645, 0.17496074815751392, 0.5118805269835566, 0.9573682643201971, 0.27010486342189943, 0.3001038807337724, 0.27497788898184405, 0.5691716704856588, 0.40514578922170436, 0.5898664809064551, 0.33875362129192904, 0.31353738678630266, 0.33419730456900637, 0.49826865944570314, 0.5017709319300814, 0.36770411632755684, 0.2637402132543806]"
70%,"Jensen-Shannon
 divergence",age,-,0.0552/0.0406,0.0573/0.0206,0.0423/0.0216,0.0451/0.0477,0.0515/0.0381,0.0496/0.0151,0.0485/0.0653,0.0388/0.0778,0.054/0.0252,0.0417/0.0389,0.0551/0.0295,0.0546/0.0628,0.0354/0.0586,0.0445/0.0747,0.0542/0.0415,0.0523/0.0323,0.0614/0.0326,0.0509/0.0628,-,0.0583/0.0546,0.0564/0.0373,0.0583/0.0231,,0.05342716877142013,0.05342716877142013,0.5037041061909646,1.9659427026487057,[],"[0.040626242244141346, 0.020630052020668605, 0.0216205390038177, 0.04770423803445884, 0.03811161720974474, 0.015061152468711668, 0.06531308071228699, 0.07776121569240334, 0.025199953054206473, 0.038873360817386925, 0.029500034738042167, 0.0627685611503421, 0.05862166581459175, 0.0746635339080771, 0.041496312316146464, 0.03227052369033166, 0.03255245083771621, 0.06278089976952472, 0.054574705754737884, 0.03734570244301385, 0.023078033158738475]","[0.09580795718833948, 0.07792973605856446, 0.06396126309821171, 0.09276786083133648, 0.08957231905751735, 0.06465343054951997, 0.11382270675043493, 0.11653933270340348, 0.0792451930080092, 0.08059957284232633, 0.08456232215593099, 0.11732184788854866, 0.09404721256423511, 0.11918496499802113, 0.09567936706298806, 0.08461428893287325, 0.09396928092011592, 0.11363946214700232, 0.11285558515838795, 0.0937773736850682, 0.0813916250478708]"
10%,"Hellinger
 distance",freetime,-,-,-,0.0564/0.0198,0.0254/0.0551,0.0625/0.0654,-,-,-,0.0494/0.0025,-,-,-,-,-,-,-,0.0625/0.0607,0.0592/0.096,-,0.0629/0.0724,-,-,,0.05144226757345689,0.05144226757345689,0.2373885464360253,0.750146514598086,[],"[0.019758483831873598, 0.05511063107579136, 0.06541362547693948, 0.0024698104789841998, 0.06072043258995961, 0.09602026984290782, 0.07239930442868077]","[0.0761403723632989, 0.08048210381987604, 0.12793368798968344, 0.0518660200586682, 0.12326281401561753, 0.1551707069152754, 0.1352908094356665]"
10%,"Wasserstein
 distance",freetime,-,-,-,0.0019/0.0007,0.0008/0.0014,0.0021/0.0016,-,-,-,0.0017/0.0001,-,-,-,-,-,-,-,0.0024/0.0012,0.0022/0.0026,-,0.0019/0.0023,-,-,,0.00181042942704548,0.00181042942704548,0.006730734873448155,0.022880740774688775,[],"[0.00069703561002332, 0.001398591401571245, 0.00163018723652482, 5.606126995796e-05, 0.00118843132215648, 0.00255411993597497, 0.002316184116596555]","[0.002547322253528675, 0.00216035629685976, 0.0037748889903079, 0.0017619135129812251, 0.003617849316556625, 0.004762805169517415, 0.004255605234937175]"
10%,"Total variation
 distance",freetime,-,-,-,0.0239/0.0111,0.011/0.0228,0.0302/0.0295,-,-,-,0.0223/0.0008,-,-,-,-,-,-,-,0.0329/0.0242,0.0313/0.0466,-,0.0289/0.0303,-,-,,0.023311285439166794,0.023311285439166794,0.10596181909741068,0.5110710359083626,[],"[0.01111370679831486, 0.022768232167603836, 0.02951263000701852, 0.00075847607448731, 0.024246437618784162, 0.04662470042770859, 0.030276884222570494]","[0.046154440571658586, 0.0565405710989859, 0.08920427764139281, 0.023820550429851744, 0.08138451942386131, 0.12454661106878695, 0.08942006567382531]"
10%,"Jensen-Shannon
 divergence",freetime,-,-,-,0.0165/0.0061,0.0078/0.0161,0.0189/0.0193,-,-,-,0.0152/0.0006,-,-,-,-,-,-,-,0.0184/0.0176,0.0182/0.0283,-,0.0187/0.02,-,-,,0.015396808415551026,0.015396808415551026,0.06943000586711179,0.2217343840180926,[],"[0.00612499407262391, 0.016082606480254814, 0.019341830949284544, 0.000630551795407605, 0.017605666000644858, 0.0282938539619929, 0.01998689164291288]","[0.022618120672889652, 0.02386596336833666, 0.03822315036916316, 0.015789159615697216, 0.036034526852282145, 0.04654056938906351, 0.03866289375066026]"
30%,"Hellinger
 distance",freetime,-,-,-,0.1131/0.0666,0.0956/0.117,0.1134/0.1234,-,-,-,0.1091/0.0416,-,-,-,-,-,-,-,0.1403/0.0995,0.1278/0.1588,-,0.0976/0.092,-,-,,0.11505818759921187,0.11505818759921187,0.4644404015748765,1.4958320220525465,[],"[0.06655986850932019, 0.11699018961168384, 0.123376858783748, 0.04156302565752009, 0.09945141452467339, 0.15879029702708256, 0.09203277383730116]","[0.1796970125380124, 0.2126065502661628, 0.23681040302532336, 0.15070714843348787, 0.23976657908533217, 0.28662128950642674, 0.189623039197801]"
30%,"Wasserstein
 distance",freetime,-,-,-,0.004/0.0018,0.0032/0.003,0.0038/0.0024,-,-,-,0.0041/0.0015,-,-,-,-,-,-,-,0.0043/0.0019,0.0039/0.0045,-,0.0035/0.0025,-,-,,0.00453454319912278,0.00453454319912278,0.013346305322090909,0.044471442186089616,[],"[0.00181713858083169, 0.00300878455375746, 0.00238678543211428, 0.0014624371794124701, 0.0019420799793457197, 0.004513262219509441, 0.002493036300965195]","[0.00585253537633741, 0.006209339270225625, 0.00623264439494546, 0.0055237950726767255, 0.006248760009997105, 0.00839230793152267, 0.006012060130384616]"
30%,"Total variation
 distance",freetime,-,-,-,0.0601/0.0318,0.0505/0.0612,0.0603/0.0593,-,-,-,0.0596/0.0197,-,-,-,-,-,-,-,0.075/0.0419,0.0652/0.0955,-,0.0519/0.0387,-,-,,0.06455471357622686,0.06455471357622686,0.23865634836337746,1.119101588342695,[],"[0.031762904831518016, 0.06124893670881304, 0.05928811178357983, 0.019721309378965372, 0.04190129302743865, 0.09553334023583979, 0.038747373608146514]","[0.12361979436297073, 0.1730364589916342, 0.1788803533926202, 0.09900173035559656, 0.15883468210736032, 0.25631257391377005, 0.1294159952187429]"
30%,"Jensen-Shannon
 divergence",freetime,-,-,-,0.0331/0.0199,0.0282/0.0345,0.0335/0.0359,-,-,-,0.0321/0.0123,-,-,-,-,-,-,-,0.0413/0.0278,0.0374/0.0456,-,0.0283/0.0254,-,-,,0.03372279048173528,0.03372279048173528,0.13444587141822872,0.43527275577612157,[],"[0.019927820046873344, 0.034508387078941195, 0.03585168826917198, 0.01233796524650223, 0.027828160361101917, 0.04559950057180544, 0.02539264029859072]","[0.053021567721907255, 0.0626673669466488, 0.06937229032141412, 0.04440209294803093, 0.06913745672670824, 0.08302218336842249, 0.05364979774298971]"
