ID,Features,Swap,Swap_ratio,Distance_measure,Value
F_1,race,0.05,swat_0.05,JS_Divergence,0.000175688068868605
F_1,race,0.1,swat_0.1,Hellinger,0.004859990437198275
F_1,race,0.1,swat_0.1,wasserstein,6.728053659410654e-05
F_1,race,0.1,swat_0.1,cramers_v,0.9992056169758268
F_1,race,0.1,swat_0.1,JS_Divergence,0.0009705675726034308
F_1,race,0.2,swat_0.2,Hellinger,0.02428418499151579
F_1,race,0.2,swat_0.2,wasserstein,0.00030904652699753583
F_1,race,0.2,swat_0.2,cramers_v,0.9987855990862388
F_1,race,0.2,swat_0.2,JS_Divergence,0.00418326002374833
F_1,race,0.4,swat_0.4,Hellinger,0.04305508056391928
F_1,race,0.4,swat_0.4,wasserstein,0.0005495793355891549
F_1,race,0.4,swat_0.4,cramers_v,0.9890318220704106
F_1,race,0.4,swat_0.4,JS_Divergence,0.0070297401082435205
F_1,race,0.6,swat_0.6,Hellinger,0.04542296089374431
F_1,race,0.6,swat_0.6,wasserstein,0.00045249390190326864
F_1,race,0.6,swat_0.6,cramers_v,0.981218619145389
F_1,race,0.6,swat_0.6,JS_Divergence,0.007641624244054545
F_1,race,0.8,swat_0.8,Hellinger,0.06320630683725734
F_1,race,0.8,swat_0.8,wasserstein,0.0007184311448476799
F_1,race,0.8,swat_0.8,cramers_v,0.9725104178511816
F_1,race,0.8,swat_0.8,JS_Divergence,0.01114303036240364
F_1,race,0.95,swat_0.95,Hellinger,0.08122057045756784
F_1,race,0.95,swat_0.95,wasserstein,0.000897753293947675
F_1,race,0.95,swat_0.95,cramers_v,0.9634570616670983
F_1,race,0.95,swat_0.95,JS_Divergence,0.014119181995062735
F_2,sex,0.01,swat_0.01,Hellinger,0.0
F_2,sex,0.01,swat_0.01,wasserstein,0.0
F_2,sex,0.01,swat_0.01,cramers_v,1.0
F_2,sex,0.01,swat_0.01,JS_Divergence,0.0
F_2,sex,0.05,swat_0.05,Hellinger,0.000969729058236215
F_2,sex,0.05,swat_0.05,wasserstein,1.5519364813125e-05
F_2,sex,0.05,swat_0.05,cramers_v,1.0
F_2,sex,0.05,swat_0.05,JS_Divergence,0.00015173824642946999
F_2,sex,0.1,swat_0.1,Hellinger,0.00837696478691589
