ID,Features,Swap,Swap_ratio,Distance_measure,Value,Normalized
F_2,sex,0.2,20%,"Hellinger
 distance(+)",0.04286868572550111,0.08335087266853171
F_2,sex,0.2,20%,"Wasserstein
 distance(+)",0.0005092053288503499,0.33394279624741957
F_2,sex,0.2,20%,"Contingency
 coefficient(-)",0.7040762332950685,0.5043799883999138
F_2,sex,0.2,20%,"Total variation
 distance(+)",0.00958769069922057,0.33546933590089
F_2,sex,0.2,20%,"Jensen–Shannon
 divergence(+)",0.007497856554967109,0.20148533108369196
F_2,sex,0.4,40%,"Hellinger
 distance(+)",0.050722986541543356,0.06760382310832067
F_2,sex,0.4,40%,"Wasserstein
 distance(+)",0.00046764855479896505,0.1754106335573556
F_2,sex,0.4,40%,"Contingency
 coefficient(-)",0.7016288599604731,0.5107461978206425
F_2,sex,0.4,40%,"Total variation
 distance(+)",0.010907316372500999,0.21010873552690434
F_2,sex,0.4,40%,"Jensen–Shannon
 divergence(+)",0.00925043968033966,0.17343190915388548
F_2,sex,0.6,60%,"Hellinger
 distance(+)",0.06464745645563577,0.07198590839858966
F_2,sex,0.6,60%,"Wasserstein
 distance(+)",0.000485983383221285,0.15441907692058582
F_2,sex,0.6,60%,"Contingency
 coefficient(-)",0.7012287608496641,0.5162758307574072
F_2,sex,0.6,60%,"Total variation
 distance(+)",0.01361368461232548,0.19205617685317447
F_2,sex,0.6,60%,"Jensen–Shannon
 divergence(+)",0.011591904340651665,0.18142176461818227
F_2,sex,0.8,80%,"Hellinger
 distance(+)",0.07662309154682923,0.07615753629019294
F_2,sex,0.8,80%,"Wasserstein
 distance(+)",0.00073071847009454,0.14542769858799917
F_2,sex,0.8,80%,"Contingency
 coefficient(-)",0.6981173013932993,0.5205807075652281
F_2,sex,0.8,80%,"Total variation
 distance(+)",0.019607554374523075,0.20981412519014966
F_2,sex,0.8,80%,"Jensen–Shannon
 divergence(+)",0.01415850431353611,0.19528990734054585
F_2,sex,0.95,95%,"Hellinger
 distance(+)",0.0993196188651555,0.08602356803717769
F_2,sex,0.95,95%,"Wasserstein
 distance(+)",0.000933376625614995,0.16403546400877744
F_2,sex,0.95,95%,"Contingency
 coefficient(-)",0.6905417661611687,0.5261184429572419
F_2,sex,0.95,95%,"Total variation
 distance(+)",0.027278068385518512,0.22872637017607877
F_2,sex,0.95,95%,"Jensen–Shannon
 divergence(+)",0.018338362606002915,0.21704180802073642
F_3,capital-gain,0.1,10%,"Hellinger
 distance(+)",0.02218297693154077,0.01521574086867753
F_3,capital-gain,0.1,10%,"Wasserstein
 distance(+)",0.000307900644731745,0.08164350363063488
F_3,capital-gain,0.1,10%,"Contingency
 coefficient(-)",0.5598233244292159,0.3620351184121649
F_3,capital-gain,0.1,10%,"Total variation
 distance(+)",0.006262603725274275,0.07189201108147078
F_3,capital-gain,0.1,10%,"Jensen–Shannon
 divergence(+)",0.0042391939603241,0.05878453681633854
F_3,capital-gain,0.15,15%,"Hellinger
 distance(+)",0.06429443613489214,0.03484316599222994
F_3,capital-gain,0.15,15%,"Wasserstein
 distance(+)",0.001265348973835265,0.19390041438450759
F_3,capital-gain,0.15,15%,"Contingency
 coefficient(-)",0.6549926104548909,0.399223516184237
F_3,capital-gain,0.15,15%,"Total variation
 distance(+)",0.02255665264311884,0.15081766766278226
F_3,capital-gain,0.15,15%,"Jensen–Shannon
 divergence(+)",0.012361090420688794,0.1278540155096544
F_3,capital-gain,0.2,20%,"Hellinger
 distance(+)",0.07372492577868166,0.03458016850950568
F_3,capital-gain,0.2,20%,"Wasserstein
 distance(+)",0.001025383983860005,0.12789334722631826
F_3,capital-gain,0.2,20%,"Contingency
 coefficient(-)",0.6220591413459547,0.38680429916254466
F_3,capital-gain,0.2,20%,"Total variation
 distance(+)",0.02196272182731502,0.11164444495918074
F_3,capital-gain,0.2,20%,"Jensen–Shannon
 divergence(+)",0.012331831092598665,0.11227155543677382
F_3,capital-gain,0.4,40%,"Hellinger
 distance(+)",0.16731130869285932,0.05224490439948823
F_3,capital-gain,0.4,40%,"Wasserstein
 distance(+)",0.0022721866169889303,0.13034088574337943
F_3,capital-gain,0.4,40%,"Contingency
 coefficient(-)",0.631958214729073,0.39098107718643677
F_3,capital-gain,0.4,40%,"Total variation
 distance(+)",0.048129321412498226,0.13855535971406116
F_3,capital-gain,0.4,40%,"Jensen–Shannon
 divergence(+)",0.024372910188445694,0.14414744162446938
F_3,capital-gain,0.6,60%,"Hellinger
 distance(+)",0.2524219421898541,0.06538826207328227
F_3,capital-gain,0.6,60%,"Wasserstein
 distance(+)",0.0036960837585329697,0.1472709709876661
F_3,capital-gain,0.6,60%,"Contingency
 coefficient(-)",0.6528084690996132,0.3990008198513796
F_3,capital-gain,0.6,60%,"Total variation
 distance(+)",0.06726542854406009,0.1586346442273413
F_3,capital-gain,0.6,60%,"Jensen–Shannon
 divergence(+)",0.03248520819166416,0.15862758095750254
F_3,capital-gain,0.8,80%,"Hellinger
 distance(+)",0.33379085188677743,0.07628707652096528
F_3,capital-gain,0.8,80%,"Wasserstein
 distance(+)",0.0037925865690880004,0.12453457453857054
F_3,capital-gain,0.8,80%,"Contingency
 coefficient(-)",0.6367156809275696,0.39306505704669886
F_3,capital-gain,0.8,80%,"Total variation
 distance(+)",0.07665998200400162,0.158348968499367
F_3,capital-gain,0.8,80%,"Jensen–Shannon
 divergence(+)",0.035924881374653155,0.1564154016779508
F_3,capital-gain,0.95,95%,"Hellinger
 distance(+)",0.40048107521176607,0.08055242361143143
F_3,capital-gain,0.95,95%,"Wasserstein
 distance(+)",0.004214834200109161,0.10950682795633296
F_3,capital-gain,0.95,95%,"Contingency
 coefficient(-)",0.6307495912507964,0.3911874208747105
F_3,capital-gain,0.95,95%,"Total variation
 distance(+)",0.08571476792396361,0.13835891994395672
F_3,capital-gain,0.95,95%,"Jensen–Shannon
 divergence(+)",0.0388715573768424,0.15048117649027332
F_4,capital-loss,0.1,10%,"Hellinger
 distance(+)",0.01776012258559574,0.011603901988395877
F_4,capital-loss,0.1,10%,"Wasserstein
 distance(+)",0.0002430681458122,0.05978276432150489
F_4,capital-loss,0.1,10%,"Contingency
 coefficient(-)",0.45711622215105274,0.3176824939824001
F_4,capital-loss,0.1,10%,"Total variation
 distance(+)",0.0042649867890381795,0.01946886808798511
F_4,capital-loss,0.1,10%,"Jensen–Shannon
 divergence(+)",0.003405106867895265,0.0461699855952972
F_4,capital-loss,0.15,15%,"Hellinger
 distance(+)",0.04529599107116549,0.024182752608343502
F_4,capital-loss,0.15,15%,"Wasserstein
 distance(+)",0.001607257115084015,0.2254513948838103
F_4,capital-loss,0.15,15%,"Contingency
 coefficient(-)",0.48342421148754633,0.3300344758496142
F_4,capital-loss,0.15,15%,"Total variation
 distance(+)",0.02751761564496725,0.09286718269306912
F_4,capital-loss,0.15,15%,"Jensen–Shannon
 divergence(+)",0.010541413211662245,0.11015120556684771
F_4,capital-loss,0.2,20%,"Hellinger
 distance(+)",0.059143774219589065,0.027893662948098932
F_4,capital-loss,0.2,20%,"Wasserstein
 distance(+)",0.0016913452385922151,0.19477793492402137
F_4,capital-loss,0.2,20%,"Contingency
 coefficient(-)",0.5240985534348971,0.3478969931144235
F_4,capital-loss,0.2,20%,"Total variation
 distance(+)",0.038111345603376104,0.11028661679890432
F_4,capital-loss,0.2,20%,"Jensen–Shannon
 divergence(+)",0.011493913121980726,0.10674951079408698
F_4,capital-loss,0.4,40%,"Hellinger
 distance(+)",0.12482149819842585,0.03930069801214279
F_4,capital-loss,0.4,40%,"Wasserstein
 distance(+)",0.0011094557133092349,0.06764722470354737
F_4,capital-loss,0.4,40%,"Contingency
 coefficient(-)",0.6602348111564608,0.4027321305789676
F_4,capital-loss,0.4,40%,"Total variation
 distance(+)",0.023666230426110234,0.04453325458877721
F_4,capital-loss,0.4,40%,"Jensen–Shannon
 divergence(+)",0.01348847365062999,0.08634288497470193
F_4,capital-loss,0.6,60%,"Hellinger
 distance(+)",0.19644828228107808,0.050801871540312224
F_4,capital-loss,0.6,60%,"Wasserstein
 distance(+)",0.002559004989747536,0.10369201791248342
F_4,capital-loss,0.6,60%,"Contingency
 coefficient(-)",0.6719561088453292,0.40716972906795096
F_4,capital-loss,0.6,60%,"Total variation
 distance(+)",0.04867997589740225,0.07706085978751029
F_4,capital-loss,0.6,60%,"Jensen–Shannon
 divergence(+)",0.023491214603030393,0.11973903250187755
F_4,capital-loss,0.8,80%,"Hellinger
 distance(+)",0.27288864094174003,0.06235077265083436
F_4,capital-loss,0.8,80%,"Wasserstein
 distance(+)",0.0037178459802510904,0.11867912612725136
F_4,capital-loss,0.8,80%,"Contingency
 coefficient(-)",0.6286387010047338,0.39153081877367035
F_4,capital-loss,0.8,80%,"Total variation
 distance(+)",0.0692520420106152,0.09545329598765905
F_4,capital-loss,0.8,80%,"Jensen–Shannon
 divergence(+)",0.03092176299819026,0.1380063841212901
F_4,capital-loss,0.95,95%,"Hellinger
 distance(+)",0.33238642993969736,0.06697133334415831
F_4,capital-loss,0.95,95%,"Wasserstein
 distance(+)",0.003721132458367285,0.09571376030460205
F_4,capital-loss,0.95,95%,"Contingency
 coefficient(-)",0.6501210742436982,0.39943334352910004
F_4,capital-loss,0.95,95%,"Total variation
 distance(+)",0.0744618020988058,0.09676454537085799
F_4,capital-loss,0.95,95%,"Jensen–Shannon
 divergence(+)",0.03303038832966994,0.13090223463244202
F_5,hours-per-week,0.1,10%,"Hellinger
 distance(+)",0.00612120658838926,0.052622683134193035
