Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
capital-gain,0.4,40%,"Wasserstein
 distance(+)",0.0009459657316974999,0.00047298286584874995,<=3471,>=3674
capital-gain,0.4,40%,"Contingency
 coefficient(-)",-0.08623055736041096,0.04311527868020548,<=3471,>=3674
capital-gain,0.4,40%,"Total variation
 distance(+)",0.017727048451072605,0.008863524225536303,<=3471,>=3674
capital-gain,0.4,40%,"Jensen-Shannon
 divergence(+)",-0.004195360811368315,0.0020976804056841575,<=3471,>=3674
capital-gain,0.6,60%,"Hellinger
 distance(+)",-0.2941046266334165,0.14705231331670826,<=3471,>=3674
capital-gain,0.6,60%,"Wasserstein
 distance(+)",0.00267866052447764,0.00133933026223882,<=3471,>=3674
capital-gain,0.6,60%,"Contingency
 coefficient(-)",-0.024236924770748236,0.012118462385374118,<=3471,>=3674
capital-gain,0.6,60%,"Total variation
 distance(+)",0.028238770881998505,0.014119385440999253,<=3471,>=3674
capital-gain,0.6,60%,"Jensen-Shannon
 divergence(+)",0.001803002131928244,0.000901501065964122,<=3471,>=3674
capital-gain,0.8,80%,"Hellinger
 distance(+)",-0.4069214873960446,0.20346074369802233,<=3471,>=3674
capital-gain,0.8,80%,"Wasserstein
 distance(+)",0.0007556169975535799,0.00037780849877678993,<=3471,>=3674
capital-gain,0.8,80%,"Contingency
 coefficient(-)",-0.025559538594386755,0.012779769297193377,<=3471,>=3674
capital-gain,0.8,80%,"Total variation
 distance(+)",0.007238729472804989,0.0036193647364024945,<=3471,>=3674
capital-gain,0.8,80%,"Jensen-Shannon
 divergence(+)",-0.001597887065418628,0.000798943532709314,<=3471,>=3674
capital-gain,0.95,95%,"Hellinger
 distance(+)",-0.5144158099912662,0.25720790499563306,<=3471,>=3674
capital-gain,0.95,95%,"Wasserstein
 distance(+)",0.0002691671246473201,0.00013458356232366004,<=3471,>=3674
capital-gain,0.95,95%,"Contingency
 coefficient(-)",-0.0045349973574571045,0.0022674986787285523,<=3471,>=3674
capital-gain,0.95,95%,"Total variation
 distance(+)",-0.007223466095146874,0.003611733047573437,<=3471,>=3674
capital-gain,0.95,95%,"Jensen-Shannon
 divergence(+)",-0.004641056859732588,0.002320528429866294,<=3471,>=3674
capital-loss,0.1,10%,"Hellinger
 distance(+)",-0.03552024517119148,0.01776012258559574,<=1876,>=1887
capital-loss,0.1,10%,"Wasserstein
 distance(+)",-0.0004861362916244,0.0002430681458122,<=1876,>=1887
capital-loss,0.1,10%,"Contingency
 coefficient(-)",-0.4899683755901769,0.24498418779508846,<=1876,>=1887
capital-loss,0.1,10%,"Total variation
 distance(+)",-0.008529973578076359,0.0042649867890381795,<=1876,>=1887
capital-loss,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.00681021373579053,0.003405106867895265,<=1876,>=1887
capital-loss,0.15,15%,"Hellinger
 distance(+)",-0.06452111797720328,0.03226055898860165,<=1876,>=1887
capital-loss,0.15,15%,"Wasserstein
 distance(+)",0.0016838046163889502,0.0008419023081944751,<=1876,>=1887
capital-loss,0.15,15%,"Contingency
 coefficient(-)",-0.43303984276213103,0.21651992138106552,<=1876,>=1887
capital-loss,0.15,15%,"Total variation
 distance(+)",0.027659493547138633,0.013829746773569317,<=1876,>=1887
capital-loss,0.15,15%,"Jensen-Shannon
 divergence(+)",-0.003168740475056709,0.0015843702375283545,<=1876,>=1887
capital-loss,0.2,20%,"Hellinger
 distance(+)",-0.0941381658757807,0.04706908293789035,<=1876,>=1887
capital-loss,0.2,20%,"Wasserstein
 distance(+)",0.0014527476913976703,0.0007263738456988352,<=1876,>=1887
capital-loss,0.2,20%,"Contingency
 coefficient(-)",-0.34109032568324654,0.17054516284162327,<=1876,>=1887
capital-loss,0.2,20%,"Total variation
 distance(+)",0.04061138754005399,0.020305693770026997,<=1876,>=1887
capital-loss,0.2,20%,"Jensen-Shannon
 divergence(+)",-0.00559228121976413,0.002796140609882065,<=1876,>=1887
capital-loss,0.4,40%,"Hellinger
 distance(+)",-0.23397042962871845,0.11698521481435922,<=1876,>=1887
capital-loss,0.4,40%,"Wasserstein
 distance(+)",-0.0008660682765002901,0.00043303413825014506,<=1876,>=1887
capital-loss,0.4,40%,"Contingency
 coefficient(-)",-0.047677416177135945,0.023838708088567973,<=1876,>=1887
capital-loss,0.4,40%,"Total variation
 distance(+)",-0.01300779315816208,0.00650389657908104,<=1876,>=1887
capital-loss,0.4,40%,"Jensen-Shannon
 divergence(+)",-0.019153392697991482,0.009576696348995741,<=1876,>=1887
capital-loss,0.6,60%,"Hellinger
 distance(+)",-0.29959536430910116,0.14979768215455058,<=1876,>=1887
capital-loss,0.6,60%,"Wasserstein
 distance(+)",0.0012298390677287516,0.0006149195338643758,<=1876,>=1887
capital-loss,0.6,60%,"Contingency
 coefficient(-)",-0.007487314961292513,0.0037436574806462564,<=1876,>=1887
capital-loss,0.6,60%,"Total variation
 distance(+)",0.017337562687646108,0.008668781343823054,<=1876,>=1887
capital-loss,0.6,60%,"Jensen-Shannon
 divergence(+)",-0.0071136679851778704,0.0035568339925889352,<=1876,>=1887
capital-loss,0.8,80%,"Hellinger
 distance(+)",-0.39680364012651453,0.19840182006325727,<=1876,>=1887
capital-loss,0.8,80%,"Wasserstein
 distance(+)",0.00196441749899104,0.00098220874949552,<=1876,>=1887
capital-loss,0.8,80%,"Contingency
 coefficient(-)",-0.06874626728344135,0.03437313364172068,<=1876,>=1887
capital-loss,0.8,80%,"Total variation
 distance(+)",0.026695615181550614,0.013347807590775307,<=1876,>=1887
capital-loss,0.8,80%,"Jensen-Shannon
 divergence(+)",-0.001732502485266959,0.0008662512426334795,<=1876,>=1887
capital-loss,0.95,95%,"Hellinger
 distance(+)",-0.49513808488899763,0.24756904244449882,<=1876,>=1887
capital-loss,0.95,95%,"Wasserstein
 distance(+)",0.0010691682571475295,0.0005345841285737648,<=1876,>=1887
capital-loss,0.95,95%,"Contingency
 coefficient(-)",-0.006598624092832184,0.003299312046416092,<=1876,>=1887
capital-loss,0.95,95%,"Total variation
 distance(+)",0.011358236047165543,0.0056791180235827715,<=1876,>=1887
capital-loss,0.95,95%,"Jensen-Shannon
 divergence(+)",-0.005894790798479713,0.0029473953992398567,<=1876,>=1887
hours-per-week,0.1,10%,"Hellinger
 distance(+)",-0.00579853865387424,0.00289926932693712,<=40,>=41
