Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak,,Measurement&Feature&thalach&thal&sex&trestbps&restecg&age&exang&ca&fbs&chol&cp&oldpeak\\
0.5,Propensity score,thalach,1,19.192,5.379,9.401,5.718,6.39,6.062,16.514,4.373,8.74,17.147,10.763,,Propensity score&thalach&1&19.192&5.379&9.401&5.718&6.39&6.062&16.514&4.373&8.74&17.147&10.763\\
0.5,Propensity score,thal,17.842,1,12.48,15.503,12.135,13.486,14.847,21.271,12.48,15.503,23.203,18.847,,Propensity score&thal&17.842&1&12.48&15.503&12.135&13.486&14.847&21.271&12.48&15.503&23.203&18.847\\
0.5,Propensity score,sex,6.051,13.158,1,7.746,2.701,2.701,3.045,14.48,2.367,4.706,16.802,11.096,,Propensity score&sex&6.051&13.158&1&7.746&2.701&2.701&3.045&14.48&2.367&4.706&16.802&11.096\\
0.5,Propensity score,trestbps,12.429,17.52,7.734,1,6.723,10.768,9.757,15.48,5.706,9.751,15.785,12.441,,Propensity score&trestbps&12.429&17.52&7.734&1&6.723&10.768&9.757&15.48&5.706&9.751&15.785&12.441\\
0.5,Propensity score,restecg,6.057,12.136,2.362,8.746,1,2.362,2.367,11.78,1.011,2.684,14.452,11.441,,Propensity score&restecg&6.057&12.136&2.362&8.746&1&2.362&2.367&11.78&1.011&2.684&14.452&11.441\\
0.5,Propensity score,age,6.057,14.158,2.706,10.09,2.023,1,3.717,16.164,1.356,5.729,13.446,10.78,,Propensity score&age&6.057&14.158&2.706&10.09&2.023&1&3.717&16.164&1.356&5.729&13.446&10.78\\
0.5,Propensity score,exang,5.045,14.169,3.723,8.062,2.028,3.384,1,12.441,1.356,4.379,13.435,12.124,,Propensity score&exang&5.045&14.169&3.723&8.062&2.028&3.384&1&12.441&1.356&4.379&13.435&12.124\\
0.5,Propensity score,ca,15.847,20.927,14.474,16.486,12.118,16.497,14.147,1,13.463,13.135,24.57,15.152,,Propensity score&ca&15.847&20.927&14.474&16.486&12.118&16.497&14.147&1&13.463&13.135&24.57&15.152\\
0.5,Propensity score,fbs,4.028,13.164,2.028,6.045,0.672,2.028,2.373,13.119,1,4.034,14.435,9.757,,Propensity score&fbs&4.028&13.164&2.028&6.045&0.672&2.028&2.373&13.119&1&4.034&14.435&9.757\\
0.5,Propensity score,chol,8.407,15.503,5.718,9.413,4.379,6.056,5.396,12.791,5.045,1,13.102,11.785,,Propensity score&chol&8.407&15.503&5.718&9.413&4.379&6.056&5.396&12.791&5.045&1&13.102&11.785\\
