Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak
0.5,Total variation distance,age,0.07972724323322199(0.03779810994988813),0.2118610086150407(0.03641457892583632),0.0447745285853805(0.058013976756076675),0.138250442626833(0.05426992694216774),0.033199355103554186(0.0211781528464743),1,0.05198994252873561(0.05979094464631778),0.21519792204785332(0.03599284333675147),0.01992816091954022(0.026400352837375178),0.07847042649601044(0.053112001696196176),0.1759384239848644(0.10693698768724287),0.14232859120348482(0.07352330574087311)
0.5,Jensen–Shannon divergence,age,0.04915180294873252(0.014440911205811712),0.07580002162350152(0.009464509923630529),0.024720465702710782(0.02256427410615615),0.06376103973438492(0.016556236245439594),0.025513031048578484(0.014959355603297492),1,0.029461076920340234(0.0269444195374977),0.08239664596486426(0.0023893620877698707),0.015270849689944738(0.018703972367227855),0.043187330841315694(0.024573217971811084),0.07237395710943781(0.01961263837730902),0.06494325444069435(0.019201834642807232)
0.5,Propensity score,age,6.0566(3.110110004485372),14.157999999999998(3.3731869796973895),2.7064(3.1455876780023155),10.090399999999999(4.730836272795752),2.0228(1.6630952347956505),1,3.7174(4.341892932811679),16.163800000000002(0.8565576221130727),1.356(1.6607540456069947),5.7288(4.372824231546472),13.4462(7.311661080766804),10.7798(5.886766494434784)
0.5,Combined score,age,0.0001(0.0001),0.0017(0.0011),0.0001(0.0001),0.0005(0.0007),0.0(0.0),1,0.0001(0.0002),0.0018(0.0015),0.0(0.0),0.0001(0.0002),0.0032(0.0039),0.0007(0.0011)
0.5,Hellinger distance,exang,0.17012777710271215(0.01834027557510146),0.2832699868721568(0.04173281727458946),0.12321524830789428(0.07930873323800176),0.21204905236419566(0.043392642136379035),0.07903393532749439(0.07392947698098334),0.11585788694983398(0.07808222715983454),1,0.26473099565572067(0.046271712265667515),0.05398118170920686(0.06995702743803366),0.14056942454203153(0.07494055177711702),0.2686376399013325(0.07689834260323239),0.2601916757935481(0.050713655438540665)
0.5,Wasserstein distance,exang,0.00476235737337788(0.0019960119782304326),0.0095247147467558(0.0036329698298975485),0.0037158803341626407(0.0036115828211882735),0.00210182252791538(0.0030525507157104807),0.00105534548870012(0.0012926050341346374),0.00211955942688512(0.0019886694652024146),1,0.01321398973246384(0.0060369979075365334),0.001064213938185(0.0013033905628555243),0.0036981434351928805(0.0035778011597394944),0.00846050080857082(0.007215583270783237),0.0095247147467558(0.005713470619308181)
0.5,Contingency coefficient,exang,0.6684757049057675(0.0074722968776548505),0.5824352425779159(0.044578138663277735),0.6784103015461627(0.025835303271961752),0.6395006250927889(0.0336847358575526),0.691346865119303(0.019737562588718588),0.6802852671683763(0.02934559118760587),1,0.6047726891206164(0.03754418355480279),0.6965635690733011(0.015203558515559549),0.6725935246202176(0.022180150057948194),0.5869493447547354(0.07013860474598324),0.6044921141505312(0.04124425355184607)
0.5,Total variation distance,exang,0.08021434181839368(0.013918711235492097),0.19219034325889162(0.045265531478216825),0.05961710703090012(0.046911158066062664),0.0940533703617685(0.04951172447464245),0.02754255451836094(0.02564166660649292),0.04714798850574708(0.04428255320959634),1,0.19232312035078997(0.06227976985783839),0.02096801346801344(0.027359264337298347),0.06699223416965351(0.04604130062216387),0.17762312400243424(0.08857211212918337),0.1717514152250869(0.06199970976892114)
0.5,Jensen–Shannon divergence,exang,0.04622680083023607(0.004956531419983998),0.07667765342138885(0.011802680264603176),0.03344757480903328(0.02153394524904018),0.0580731789422403(0.01149385965264753),0.02165424414207198(0.02033991128672581),0.03172917970488244(0.02142397981470614),1,0.07030536640753388(0.011709571076834709),0.01481812059779862(0.019215194793337994),0.03818131861764268(0.02034012565768862),0.07244135208006726(0.02040640440156387),0.07005669197829506(0.013544426345368284)
0.5,Propensity score,exang,5.0454(1.0368349145355782),14.1694(4.159045544352694),3.7234000000000003(3.290209756231356),8.0624(3.5279298519103235),2.0284000000000004(2.491918184852785),3.3842(3.5577669063613486),1,12.440800000000001(4.029766812112086),1.356(1.976692692352557),4.3786000000000005(2.7543075064342397),13.4348(6.661798327779068),12.124(4.277791065491628)
0.5,Combined score,exang,0.0(0.0),0.0013(0.0012),0.0(0.0001),0.0002(0.0004),0.0(0.0),0.0(0.0001),1,0.0017(0.0017),0.0(0.0),0.0(0.0001),0.0016(0.0017),0.0011(0.0011)
0.5,Hellinger distance,ca,0.30141379066367413(0.0298861570186148),0.34129839758403674(0.06736976799897733),0.28919418112833206(0.01738469207123719),0.3069271708729492(0.037988737763421085),0.2647211357126385(0.01393927211889901),0.3092026995769488(0.006412721049422387),0.2858041612466416(0.017305921366107865),1,0.27898840361082816(0.015652709591753144),0.2744391020881264(0.028473276862225765),0.37413353967963897(0.05019211993773352),0.2956069021777544(0.021355049405559254)
0.5,Wasserstein distance,ca,0.01004795326636344(0.006166194088183112),0.02227754510600622(0.01606833832266572),0.01321398973246384(0.006060208088858777),0.011103298755063579(0.009082028393269468),0.00953358319624068(0.004350424199707142),0.01112103565403334(0.007183247003390147),0.011635405724156101(0.006839960911078189),1,0.0116265372746712(0.008136501546140306),0.009019213126117939(0.008853964345781513),0.019590404912089084(0.014272484854218085),0.011103298755063601(0.008950967845901731)
0.5,Contingency coefficient,ca,0.5662287019347919(0.03498393450654861),0.5251421073240474(0.07085290158748765),0.5858199963449732(0.017967248416096177),0.5612720763313189(0.038161047887476075),0.6063000643513157(0.012399916487259244),0.5617633779906098(0.006561387684674789),0.5878782580921886(0.01565448081131396),1,0.5962637525287611(0.009531440150078837),0.5976281945360447(0.022832411034909284),0.4707547059412895(0.08148687408896509),0.577949631713437(0.022264014036588044)
0.5,Total variation distance,ca,0.20939600050487145(0.05069609951742038),0.29771904842469354(0.12565094168991586),0.21148371766350071(0.035669297204086216),0.217826478613464(0.07745683062358816),0.1727105972448019(0.031331731885123275),0.2206926360624914(0.0377274004912288),0.20053842130246463(0.04943237896174498),1,0.19341974225872996(0.05247646523309821),0.17680667265622763(0.060973483130662635),0.3239238354282847(0.1018457140972615),0.20644098856279053(0.051829185929722646)
0.5,Jensen–Shannon divergence,ca,0.08143149888739251(0.007864724075404304),0.08768699556419216(0.013311037791120101),0.07710161652684983(0.004813215979758647),0.08232470652352765(0.008993988155564651),0.07141787177273776(0.0034037776406455836),0.08313856655802496(0.001761756918444621),0.07656416680640095(0.0036261520667542624),1,0.07441206186971402(0.0023908036576640113),0.07368649961231592(0.006389346635284615),0.0980072349903942(0.01183218647191551),0.07902654986493134(0.005709892449458349)
0.5,Propensity score,ca,15.847399999999999(3.22941224373724),20.9266(8.139150658391822),14.4744(1.6816675771388352),16.4858(3.842571503563727),12.1184(1.2344410232975893),16.4972(0.634264424353125),14.146600000000001(1.7671408093301453),1,13.463000000000003(1.4629116172893013),13.135399999999999(2.71403674256632),24.5704(6.476682842319824),15.1524(2.1388476897619433)
