Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak
0.5,Combined score,chol,0.0001(0.0002),0.0022(0.0019),0.0001(0.0001),0.0003(0.0003),0.0(0.0),0.0004(0.0007),0.0001(0.0001),0.0018(0.0032),0.0002(0.0003),1,0.0017(0.0021),0.0004(0.0003)
0.5,Hellinger distance,cp,0.321265613863876(0.015613821834697672),0.3533286783517222(0.045145233833801764),0.2984001137811717(0.05196948796140154),0.3158723837996994(0.06066319507175791),0.2763691548648074(0.08692290927143645),0.27031606067780944(0.07077262187112279),0.27331137176909026(0.058141471675390466),0.3677407732589605(0.07286898986049921),0.28018178340583033(0.0859398544395944),0.27248320602168014(0.061906696754298815),1,0.32519585881036644(0.07423606376213078)
0.5,Wasserstein distance,cp,0.01001247946842398(0.009321512463334219),0.012220723390157858(0.009168175454664144),0.01216751269324858(0.00599244747573522),0.00900147622714818(0.007649725275955457),0.0100213479179088(0.005632338234144203),0.00950697784778606(0.007240620585227625),0.010571191785971079(0.006067575116504719),0.0190760348419663(0.0132279813807586),0.011608800375701462(0.008310943832448837),0.010571191785971079(0.008047041650437957),1,0.012132038895309099(0.008584668262975593)
0.5,Contingency coefficient,cp,0.5455870592304848(0.019058336189735906),0.49299237734614765(0.07529055835425684),0.5659195875540086(0.05760271115485753),0.539001520549436(0.0748578100299809),0.5722140704490185(0.08466156499561944),0.5865037653683028(0.07612719089735982),0.5904585020471466(0.05027766742227976),0.46868905947400724(0.10701908253674958),0.572300306344203(0.08530261916873538),0.5911995647871939(0.05437325337486853),1,0.5192983834358211(0.11218286985970892)
0.5,Total variation distance,cp,0.22751418753573915(0.05288222802016966),0.27687526571609367(0.03713494790635605),0.2187475527346216(0.0666846736096766),0.22224938756198975(0.0776650096313745),0.19565490783163195(0.10291888836618415),0.18251739485332366(0.09602681118129187),0.18880296126750515(0.07387893002233084),0.3189028313758405(0.11452176577026822),0.20394638233000295(0.11108196526072539),0.18757833987807637(0.08083925698385945),1,0.24648645092745564(0.11531019253326365)
0.5,Jensen–Shannon divergence,cp,0.08640779025375427(0.00390113045709775),0.09474644326018869(0.013465076169480441),0.0800605862013578(0.013579704788899255),0.0853461114894068(0.016203415440602276),0.07456796528038208(0.02306351343279367),0.07275885606634092(0.018404734462592696),0.07348448530675256(0.015066241318817427),0.09667367554953667(0.018137196856021994),0.07495024001047056(0.022291566386856528),0.07297313219557656(0.0159265926970972),1,0.08744671597251605(0.018698187526555395)
0.5,Propensity score,cp,17.836000000000002(1.6146988573724819),21.852999999999998(5.285440416843236),15.796600000000002(5.191026434145755),17.8024(6.312390849749405),14.440800000000001(7.801398884815465),13.4352(6.89639463487988),13.446200000000001(5.052677286350277),24.2202(8.630596280674933),14.774000000000001(7.8392972389111515),13.4462(5.4887510200408975),1,19.141(8.798266442885213)
0.5,Combined score,cp,0.0026(0.0026),0.004(0.0035),0.0029(0.0027),0.0029(0.0025),0.0033(0.0035),0.0028(0.0035),0.0018(0.0017),0.0224(0.0208),0.0045(0.0053),0.002(0.0025),1,0.0146(0.0245)
0.5,Hellinger distance,oldpeak,0.22986298774877287(0.07564826080862042),0.3259757150788608(0.07073311055744906),0.2293792723289724(0.08886388660566634),0.29477873643034436(0.030740450529749067),0.23888957119341225(0.0734534009323821),0.2377222506783236(0.06324375423127476),0.24923094835180284(0.04795364567828711),0.31349425229639255(0.0356758045095051),0.20426086923471884(0.0715906369548864),0.2461799879451277(0.043116619404151534),0.32648509461858205(0.06834341769477505),1
0.5,Wasserstein distance,oldpeak,0.0042213819548005006(0.003166346970814167),0.011103298755063582(0.005084847532108558),0.00791065694050856(0.007400007705835707),0.00791952538999344(0.007880833753200037),0.00736968152193118(0.005599525239955743),0.00790178849102368(0.006849888424041998),0.005817702862078019(0.004250513782332397),0.01112103565403334(0.009427349514677007),0.0074051553198706595(0.005145688073216049),0.0073874184209009(0.003031609118938996),0.014242729872709362(0.007159283459259911),1
0.5,Contingency coefficient,oldpeak,0.617661664567623(0.06648462547163803),0.5208171538549371(0.08598588637249058),0.6163638790505022(0.07004544169061777),0.5731149926378232(0.032663244680720176),0.6137556474658541(0.06282348789316457),0.6198773696907559(0.04673631856619351),0.6124613084496214(0.037820036360840095),0.553038477998802(0.04139397852034009),0.6415242428389817(0.04019702763563291),0.6173289660837138(0.03083788860242975),0.5232396955402652(0.0923965648715311),1
0.5,Total variation distance,oldpeak,0.12506781615740242(0.07573412325078986),0.2476198887401285(0.05864693994167033),0.1459146973631204(0.09412948379564766),0.19272318842118613(0.05099539160870017),0.14794714395823466(0.07148414148293054),0.14689148132487947(0.06967394490712432),0.14431299136944298(0.04316635358563024),0.225353797230842(0.06586101742299862),0.12247710526173523(0.06388125054043382),0.14871816115120867(0.03846509092392061),0.2575624020667123(0.10068052458059012),1
0.5,Jensen–Shannon divergence,oldpeak,0.06277931817708246(0.020483090929039233),0.0879458671176006(0.019783915573105323),0.061675816223480104(0.02359926768768912),0.07964765843412847(0.008513732964127954),0.0645279474975626(0.0199098247039),0.06399598449205138(0.016771594694932595),0.06777350706708292(0.013424846180310665),0.08408069062460004(0.008894655644890743),0.055011678178567856(0.01924305187835078),0.06678876243694257(0.011682369520061289),0.08744041793007798(0.01715518492254091),1
0.5,Propensity score,oldpeak,10.079200000000002(6.489680220164936),19.163800000000002(7.200475023218954),10.4294(7.3797859481152965),15.157999999999998(3.021845528811822),10.762800000000002(6.4016389588916995),10.434999999999999(5.104103917437418),11.1186(3.9280607734606146),17.175(3.9315213849094084),8.0846(4.677588036584667),10.762599999999999(3.433495979319038),19.1412(7.722280347151352),1
0.5,Combined score,oldpeak,0.0007(0.0012),0.0033(0.0019),0.0016(0.0028),0.0013(0.0017),0.0011(0.002),0.001(0.0018),0.0003(0.0003),0.0039(0.0062),0.0004(0.0004),0.0005(0.0006),0.0109(0.0151),1
