Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
cp,0.7,70%,"Contingency
 coefficient(-)",-0.019086763512862648,0.009543381756431324,4.0,<=3.0
cp,0.7,70%,"Total variation
 distance(+)",0.04173053475481392,0.02086526737740696,4.0,<=3.0
cp,0.7,70%,"Jensen-Shannon
 divergence(+)",0.0028044928030707683,0.0014022464015353842,4.0,<=3.0
fbs,0.1,10%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.1,10%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.1,10%,"Contingency
 coefficient(-)",0.0,0.0,1.0,0.0
fbs,0.1,10%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
fbs,0.3,30%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.3,30%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.3,30%,"Contingency
 coefficient(-)",0.0,0.0,1.0,0.0
fbs,0.3,30%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.3,30%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
fbs,0.5,50%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.5,50%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.5,50%,"Contingency
 coefficient(-)",0.0,0.0,1.0,0.0
fbs,0.5,50%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.5,50%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
fbs,0.7,70%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.7,70%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.7,70%,"Contingency
 coefficient(-)",0.0,0.0,1.0,0.0
fbs,0.7,70%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
fbs,0.7,70%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
restecg,0.1,10%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.1,10%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.1,10%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.1,10%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.3,30%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.5,50%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.7,70%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Contingency
 coefficient(-)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
exang,0.3,30%,"Hellinger
 distance(+)",0.047701199638838766,0.023850599819419383,1.0,0.0
exang,0.3,30%,"Wasserstein
 distance(+)",0.0021000741430395402,0.0010500370715197701,1.0,0.0
exang,0.3,30%,"Contingency
 coefficient(-)",-0.009879244043020208,0.004939622021510104,1.0,0.0
exang,0.3,30%,"Total variation
 distance(+)",0.025886251576654057,0.012943125788327028,1.0,0.0
exang,0.3,30%,"Jensen-Shannon
 divergence(+)",0.014590943033906139,0.007295471516953069,1.0,0.0
exang,0.5,50%,"Hellinger
 distance(+)",0.0529954694252527,0.02649773471262635,1.0,0.0
exang,0.5,50%,"Wasserstein
 distance(+)",0.0027977255025163797,0.0013988627512581898,1.0,0.0
exang,0.5,50%,"Contingency
 coefficient(-)",0.004802255512272868,0.002401127756136434,1.0,0.0
exang,0.5,50%,"Total variation
 distance(+)",0.020911314233295654,0.010455657116647827,1.0,0.0
exang,0.5,50%,"Jensen-Shannon
 divergence(+)",0.014461759045672856,0.007230879522836428,1.0,0.0
exang,0.7,70%,"Hellinger
 distance(+)",0.08093818523221787,0.04046909261610893,1.0,0.0
exang,0.7,70%,"Wasserstein
 distance(+)",0.00613783239730898,0.00306891619865449,1.0,0.0
exang,0.7,70%,"Contingency
 coefficient(-)",-0.014629314330077192,0.007314657165038596,1.0,0.0
exang,0.7,70%,"Total variation
 distance(+)",0.06427968260166403,0.032139841300832014,1.0,0.0
exang,0.7,70%,"Jensen-Shannon
 divergence(+)",0.02323447166712032,0.01161723583356016,1.0,0.0
oldpeak,0.1,10%,"Hellinger
 distance(+)",0.008184231975091563,0.004092115987545782,>=0.9,<=0.8
oldpeak,0.1,10%,"Wasserstein
 distance(+)",0.0009454657419937,0.00047273287099685,>=0.9,<=0.8
oldpeak,0.1,10%,"Contingency
 coefficient(-)",-0.003970913772422202,0.001985456886211101,>=0.9,<=0.8
oldpeak,0.1,10%,"Total variation
 distance(+)",0.00994511920827712,0.00497255960413856,>=0.9,<=0.8
oldpeak,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0029168664000241004,0.0014584332000120502,>=0.9,<=0.8
oldpeak,0.3,30%,"Hellinger
 distance(+)",-0.027942715806965154,0.013971357903482577,>=0.9,<=0.8
oldpeak,0.3,30%,"Wasserstein
 distance(+)",-0.00466469700754762,0.00233234850377381,>=0.9,<=0.8
oldpeak,0.3,30%,"Contingency
 coefficient(-)",0.014724054256804564,0.007362027128402282,>=0.9,<=0.8
oldpeak,0.3,30%,"Total variation
 distance(+)",-0.04669398300358048,0.02334699150179024,>=0.9,<=0.8
oldpeak,0.3,30%,"Jensen-Shannon
 divergence(+)",-0.011512207144172715,0.005756103572086358,>=0.9,<=0.8
oldpeak,0.5,50%,"Hellinger
 distance(+)",0.021374120585589032,0.010687060292794516,>=0.9,<=0.8
oldpeak,0.5,50%,"Wasserstein
 distance(+)",0.0014807822954839393,0.0007403911477419697,>=0.9,<=0.8
oldpeak,0.5,50%,"Contingency
 coefficient(-)",-0.017814536006748094,0.008907268003374047,>=0.9,<=0.8
oldpeak,0.5,50%,"Total variation
 distance(+)",0.03809406759055098,0.01904703379527549,>=0.9,<=0.8
oldpeak,0.5,50%,"Jensen-Shannon
 divergence(+)",0.006476095717837228,0.003238047858918614,>=0.9,<=0.8
oldpeak,0.7,70%,"Hellinger
 distance(+)",0.04943522644272877,0.024717613221364385,>=0.9,<=0.8
oldpeak,0.7,70%,"Wasserstein
 distance(+)",0.002138074285545079,0.0010690371427725396,>=0.9,<=0.8
oldpeak,0.7,70%,"Contingency
 coefficient(-)",-0.061772483796412314,0.030886241898206157,>=0.9,<=0.8
oldpeak,0.7,70%,"Total variation
 distance(+)",0.0764664868622501,0.03823324343112505,>=0.9,<=0.8
oldpeak,0.7,70%,"Jensen-Shannon
 divergence(+)",0.01664203970482596,0.00832101985241298,>=0.9,<=0.8
